[2025-06-25 06:00:02] INFO - 🔧 Logging initialized
[2025-06-25 06:00:02] INFO - 프로그램 시작됨
[2025-06-25 06:00:16] INFO - 🔢 총 공고 수: 174477건 → 최대 페이지 수: 3490 페이지
[2025-06-25 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-06-25 06:00:22] INFO - 0038 | 엘비휴넷㈜ | [군산/영어가능자/신입가능] 미군캠프 내 LG유플러스 매장 미군 응대 | 5시간 전 등록
[2025-06-25 06:00:22] INFO - 0039 | ㈜채선당 | [채선당] 외식프랜차이즈 메뉴개발(R&D) 경력직 채용합니다. | 5시간 전 등록
[2025-06-25 06:00:22] INFO - 0040 | 명랑시대외식청년창업협동(조) | 재무,노무,인사관리 모집 | 5시간 전 등록
[2025-06-25 06:00:22] INFO - 0041 | 이케이맨파워주식회사 | [ 센텀 ] KNN 방송국 회계 사무원 채용 | 5시간 전 등록
[2025-06-25 06:00:23] INFO - 0042 | ㈜티오에스코리아 | [무제한성과/시책금별도/프로모션진행] SGI신용정보 통신채권 채용 | 5시간 전 등록
[2025-06-25 06:00:23] INFO - 0043 | 리드커리어 주식회사 | 한성자동차 벤츠 분당서비스센터 접수데스크 사원 채용 | 5시간 전 등록
[2025-06-25 06:00:23] INFO - 0044 | ㈜동양이엠에스 | [육아휴직 대체] 회계/세무 업무 근무자 모집 | 5시간 전 등록
[2025-06-25 06:00:23] INFO - 0045 | ㈜지코스모 | 카시오 스토어 도산 카페 파티쉐 구인 | 5시간 전 등록
[2025-06-25 06:00:23] INFO - 0046 | 아이비커리어㈜ | [공공기관/중식제공] 상공회의소 총무팀 전화교환 업무 채용 | 5시간 전 등록
[2025-06-25 06:00:23] INFO - 0047 | SK텔레콤 | LLM Application 테스트 및 데이터 구축 담당자 | 5시간 전 등록
[2025-06-25 06:00:24] INFO - 0048 | 주식회사 엠피씨플러스 | [일 평균30콜] 한국레노버 & 모토로라 고객센터 인바운드 상담사 채용 | 5시간 전 등록
[2025-06-25 06:00:24] INFO - 0049 | ㈜와이에스매니지먼트 | [성과금,인센 무제한 지급] 신입/경력 아웃소싱 잡매니저&경영지원부 모집 | 5시간 전 등록
[2025-06-25 06:00:24] INFO - 0050 | ㈜이로지스아시아 | [이로지스아시아] 포워딩 항공/해상 업무직원 채용 (대리-과장급) | 5시간 전 등록
[2025-06-25 06:00:24] INFO - ⏱ 2.22초 대기
[2025-06-25 06:00:27] INFO - 
📄 현재 페이지: 2
[2025-06-25 06:00:27] INFO - 0051 | 아이비커리어㈜ | [교통비/중식제공/분당] 두산에너빌리티 사업관리 보조 | 5시간 전 등록
[2025-06-25 06:00:27] INFO - 0052 | ㈜유니에스 | [ 세브란드병원 ] 외래 접수/안내 사원 채용 | 5시간 전 등록
[2025-06-25 06:00:27] INFO - 0053 | 더프라미스 | (사)더프라미스 2025년 하반기 영프로페셔널(YP) 채용 | 5시간 전 등록
[2025-06-25 06:00:27] INFO - 0054 | ㈜아데코코리아 | 글로벌반도체장비 선두기업 본사 HR Advisor 채용(육휴대체) | 5시간 전 등록
[2025-06-25 06:00:28] INFO - 0055 | 중앙일보㈜ | [인턴] 이노베이션랩 영상PD 인턴 채용 | 5시간 전 등록
[2025-06-25 06:00:28] INFO - 0056 | 퍼펙트커리어㈜ | ㅣ시급10930ㆍ상여금150ㆍ정규직ㅣPCB BBT OP 제조팀 특별공채 | 5시간 전 등록
[2025-06-25 06:00:28] INFO - 0057 | 주식회사 엠피씨플러스 | [평일야간/주4일/휴일주간,야간] 자동차 긴급출동접수 인바운드 상담사채용 | 5시간 전 등록
[2025-06-25 06:00:28] INFO - 0058 | ㈜커리어텍 | [본사] 삼우CM 건축사사무소 안내데스크 직원 채용 | 5시간 전 등록
[2025-06-25 06:00:28] INFO - 0059 | 퍼펙트커리어㈜ | 매출1조돌파ㆍ가불300ㆍ상여300ㆍ정규직 인천대기업 특별공채 | 5시간 전 등록
[2025-06-25 06:00:28] INFO - 0060 | 퍼펙트커리어㈜ | ㅣ상여금 1년 6회지급ㆍ정규직ㆍ명절보너스ㅣ충북-세종 PCB 제조팀 공채 | 5시간 전 등록
[2025-06-25 06:00:29] INFO - 0061 | 인트로맨㈜ | [한국수자원조사기술원/공공기관/일산/실업급여/6개월] 현장 자료조사 업무 | 5시간 전 등록
[2025-06-25 06:00:29] INFO - 0062 | 휴인 | 용인디/자율퇴근제/워라밸보장/고객관리상담/1대1멘토교육/3101 | 5시간 전 등록
[2025-06-25 06:00:29] INFO - 0063 | 에이스휴먼파워㈜ | [스펙UP/식사제공] 롯데마트 본사 임원 비서 채용 | 5시간 전 등록
[2025-06-25 06:00:29] INFO - 0064 | ㈜발렉스서비스 | [문래동/주5일/월평균230만] 삼성카드 가맹점 신규등록팀 사무직 채용 | 5시간 전 등록
[2025-06-25 06:00:29] INFO - 0065 | 에스케이쉴더스㈜ | [SK쉴더스] 부산지역 부경대학교 시설보안직(BP3) 채용 | 5시간 전 등록
[2025-06-25 06:00:29] INFO - 0066 | ㈜엠제이플렉스 | [인천/월305만] SK브로드밴드 인천보도국 뉴스AD/조연출/편집 채용 | 5시간 전 등록
[2025-06-25 06:00:30] INFO - 0067 | 휴인 | 대구범어SH/고객관리팀/유입고객상담/3시퇴근/체계적교육/9612 | 5시간 전 등록
[2025-06-25 06:00:30] INFO - 0068 | 대한변호사협회 | 대한변호사협회 사무국 신규 직원(전산) 채용 | 5시간 전 등록
[2025-06-25 06:00:30] INFO - 0069 | 보람상조피플 주식회사 | 보람상조피플 성수본사-리빙플래너 | 5시간 전 등록
[2025-06-25 06:00:30] INFO - 0070 | ㈜케이티아이에스 | [계명대 동산병원] 전화예약센터 예약상담사 모집 | 5시간 전 등록
[2025-06-25 06:00:30] INFO - 0071 | ㈜인커넥트 | [(광주)문화전당역/월최대280만/정규직] 스카이라이프 상담사 채용 | 5시간 전 등록
[2025-06-25 06:00:30] INFO - 0072 | ㈜넷솔테크 | [㈜넷솔테크] 영업관리( 지원업무 ) 신입 / 경력직 채용 | 5시간 전 등록
[2025-06-25 06:00:30] INFO - 0073 | 하랑 | [광주센터/투잡/대학생가능] 배달의민족 이용문의 안내업무[일 4시간근무] | 5시간 전 등록
[2025-06-25 06:00:31] INFO - 0074 | 하랑 | [부산센터/신입환영] 배달의민족 이용문의 안내 쉬운업무 [화상면접] | 5시간 전 등록
[2025-06-25 06:00:31] INFO - 0075 | ㈜와그 | [WAUG]와그 해외여행 제휴영업 경력사원 모집 | 5시간 전 등록
[2025-06-25 06:00:31] INFO - 0076 | ㈜맨파워코리아 | [이천/마장/셔틀] 명품 패션 물류센터 하이리치 지게차 채용 | 5시간 전 등록
