[2025-07-11 06:00:01] INFO - 🔧 Logging initialized
[2025-07-11 06:00:02] INFO - 프로그램 시작됨
[2025-07-11 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-11 06:00:19] INFO - 🔢 총 공고 수: 183325건 → 최대 페이지 수: 3667 페이지
[2025-07-11 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-11 06:00:25] INFO - 0039 | 교보DTS | 교보DTS 경력 채용공고 (프론트/백엔드 개발자) | 5시간 전 등록
[2025-07-11 06:00:25] INFO - 0040 | ㈜웅진 | [월급 235만 /동대문역/종로5가역/야간] 씽크빅 고객센터 상담사 채용 | 5시간 전 등록
[2025-07-11 06:00:26] INFO - 0041 | 환인제약㈜ | 환인제약㈜ 사업개발(BD&L) 경력 채용(7/11(금)-7/25(금) 13:30까지) | 5시간 전 등록
[2025-07-11 06:00:26] INFO - 0042 | ㈜커리어텍 | [자체계약직/신입가능] 삼우CM 건축사사무소 직원(인사팀) 채용 | 5시간 전 등록
[2025-07-11 06:00:26] INFO - 0043 | ㈜에스이에이치인터내셔널 | [쥬비스 잠실점] 고객 응대 및 관리 컨시어지 채용합니다 (주5일/주말휴무) | 5시간 전 등록
[2025-07-11 06:00:26] INFO - 0044 | 에스지씨에너지㈜QT사업부 | 생산 팀장급 정규직 채용 (경력) | 5시간 전 등록
[2025-07-11 06:00:26] INFO - 0045 | ㈜케이티아이에스 | [월287만 / 광화문] KT Brand전략실 임원비서 모집 | 5시간 전 등록
[2025-07-11 06:00:26] INFO - 0046 | 에이스휴먼파워㈜ | [재택/화상면접] 쿠팡 상세페이지 운영관리 담당자 채용 | 5시간 전 등록
[2025-07-11 06:00:27] INFO - 0047 | ㈜윌앤비전 | 우리카드 오토팀 승계 심사 업무 담당자 모집 | 5시간 전 등록
[2025-07-11 06:00:27] INFO - 0048 | 티에이케이정보시스템㈜ | 2025년 상반기 ERP팀 컨설턴트 수시채용 모집 | 5시간 전 등록
[2025-07-11 06:00:27] INFO - 0049 | 리드커리어 주식회사 | [가디역/워라밸] 카카오 메이커스 뮤직 쇼핑 콘텐츠 운영 담당자 채용 | 5시간 전 등록
[2025-07-11 06:00:27] INFO - 0050 | 티에이케이정보시스템㈜ | 2025년 상반기 ERP팀 수시채용 모집 | 5시간 전 등록
[2025-07-11 06:00:27] INFO - ⏱ 2.86초 대기
[2025-07-11 06:00:30] INFO - 
📄 현재 페이지: 2
[2025-07-11 06:00:31] INFO - 0051 | 티에이케이정보시스템㈜ | 2025년 상반기 ERP팀 수시채용 모집 | 5시간 전 등록
[2025-07-11 06:00:31] INFO - 0052 | ㈜에스이에이치인터내셔널 | [쥬비스 성수점] 고객 응대 및 관리 컨시어지 채용합니다 (주5일/평일근무) | 5시간 전 등록
[2025-07-11 06:00:31] INFO - 0053 | ㈜에스이에이치인터내셔널 | [쥬비스 마포점] 고객응대 및 기기관리 담당자 모집 (평일/8시간) | 5시간 전 등록
