[2025-06-29 06:00:02] INFO - 🔧 Logging initialized
[2025-06-29 06:00:02] INFO - 프로그램 시작됨
[2025-06-29 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-29 06:00:18] INFO - 🔢 총 공고 수: 174000건 → 최대 페이지 수: 3480 페이지
[2025-06-29 06:00:18] INFO - 
📄 현재 페이지: 1
[2025-06-29 06:00:25] INFO - 0039 | ㈜제니엘 | [삼성역] 한국무역협회 마케팅전략실 사무 직원 채용 | 5시간 전 등록
[2025-06-29 06:00:25] INFO - 0040 | ㈜잡스테이션 | 셔틀운행/대기업식품회사/주야교대/냉동만두/상여금별도지급 | 5시간 전 등록
[2025-06-29 06:00:25] INFO - 0041 | 아이비커리어㈜ | [통근버스] 삼성이앤에이 발주처 비서 모집(영어/중국어 가능자) | 5시간 전 등록
[2025-06-29 06:00:25] INFO - 0042 | 땡큐성형외과의원 | [땡큐피부과] 피부관리사/간호조무사 채용 | 5시간 전 등록
[2025-06-29 06:00:25] INFO - 0043 | 피엔에이링크 | [아우디/하남 스타필드]AUDI 하남 스타필드 전시장 리셉션 안내데스크 채용 | 5시간 전 등록
[2025-06-29 06:00:25] INFO - 0044 | ㈜피플리온 | [경력/영어] PC/OA 전산 유지보수 [서울시 중구] | 5시간 전 등록
[2025-06-29 06:00:26] INFO - 0045 | 지멘스헬시니어스㈜ | 지멘스헬시니어스(주)초음파사업부-Commodity Management Professional | 5시간 전 등록
[2025-06-29 06:00:26] INFO - 0046 | ㈜잡스테이션 | [기숙사제공/경기안성] 에덴블루골프장 코스관리 사원 모집 | 5시간 전 등록
[2025-06-29 06:00:26] INFO - 0047 | ㈜한샘디지텍 | [신입/경력] 각부문 정규직 모집 | 5시간 전 등록
[2025-06-29 06:00:26] INFO - 0048 | 단국대학교병원 | 간호부 병동 기간제 보조원 모집 | 5시간 전 등록
[2025-06-29 06:00:26] INFO - 0049 | ㈜제이앤비컨설팅 | [2주단기/중식제공]한국예탁결제원 자산 관리 업무 보조 채용 | 5시간 전 등록
[2025-06-29 06:00:26] INFO - 0050 | 에이스휴먼파워㈜ | 월318만[공기업/영업X] 한국자산관리공사 채무조정관련 상담 채용 | 5시간 전 등록
[2025-06-29 06:00:26] INFO - ⏱ 2.72초 대기
[2025-06-29 06:00:30] INFO - 
📄 현재 페이지: 2
[2025-06-29 06:00:30] INFO - 0051 | 정상종합건설 | 정상종합건설 포천 LH현장 사진대지 관리자 구인 공고 | 5시간 전 등록
[2025-06-29 06:00:30] INFO - 0052 | ㈜아르스네트워크 | [브레드이발소타운 대구] 유아 체육 강사 모집합니다. | 5시간 전 등록
[2025-06-29 06:00:30] INFO - 0053 | ㈜라이온하트스튜디오 | [프로젝트C] 시스템 기획자 모집 | 5시간 전 등록
[2025-06-29 06:00:30] INFO - 0054 | ㈜카스 | (주)카스 회계팀 원가,세무,재무회계 담당자 채용 | 5시간 전 등록
[2025-06-29 06:00:31] INFO - 0055 | ㈜카스 | (주) 카스 글로벌사업본부 해외영업 팀원 모집 | 5시간 전 등록
[2025-06-29 06:00:31] INFO - 0056 | ㈜라이온하트스튜디오 | [프로젝트S] 컨텐츠 기획자 모집 | 5시간 전 등록
[2025-06-29 06:00:31] INFO - 0057 | ㈜라이온하트스튜디오 | [라이온하트 스튜디오] 오딘: 발할라 라이징 PM 모집 | 5시간 전 등록
[2025-06-29 06:00:31] INFO - 0058 | 비모소프트 | 서비스 기획자 (경력) | 5시간 전 등록
[2025-06-29 06:00:31] INFO - 0059 | ㈜오케이팩 | 고객응대(영업지원) 및 사무관리전반 (고객응대/마케팅/사무총괄 등) | 6시간 전 등록
[2025-06-29 06:00:31] INFO - 0060 | ㈜뉴비즈원 | [강남플래그십] DJI 카메라 드론 스토어 매니저/스텝 채용 | 6시간 전 등록
[2025-06-29 06:00:32] INFO - 0061 | 반디파스타 | [주5일] 제주 파스타전문점에서 홀직원, 홀주방직원 모십니다 | 7시간 전 등록
[2025-06-29 06:00:32] INFO - 0062 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 7시간 전 등록
[2025-06-29 06:00:32] INFO - 0063 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 7시간 전 등록
[2025-06-29 06:00:32] INFO - 0064 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 7시간 전 등록
[2025-06-29 06:00:32] INFO - 0065 | 프라임에셋 | 병원인하우스 근무하실분 모집/ 경단녀.투잡가능/ 온라인영업 가능 | 7시간 전 등록
[2025-06-29 06:00:32] INFO - 0066 | 서브온㈜ | 서울시 병원안심동행 콜센터 사회복지사 활동경험 상담사 구인 | 7시간 전 등록
[2025-06-29 06:00:32] INFO - 0067 | ㈜케이씨엠에스 | 을지로 한화솔루션 큐셀 / 말레이시아 ERP 구축 (s03) | 7시간 전 등록
[2025-06-29 06:00:33] INFO - 0068 | ㈜케이씨엠에스 | 을지로 한화비전 HPLM 시스템 고도화 개발 (s03) | 7시간 전 등록
[2025-06-29 06:00:33] INFO - 0069 | ㈜흥아물산 | 동대문 종합시장 원단매장 관리직원분 신규모집 | 8시간 전 등록
[2025-06-29 06:00:33] INFO - 0070 | ㈜성한아이엔티 | 컨버스 롯데미아 중간관리 매니저 채용 | 8시간 전 등록
[2025-06-29 06:00:33] INFO - 0071 | 펄시커피 | 펄시커피(P3R:C) 양재점 바리스타 채용 | 8시간 전 등록
[2025-06-29 06:00:33] INFO - 0072 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-06-29 06:00:33] INFO - 0073 | 스시하쿠초 | 스시하쿠초 주방 셰프님 모십니다. | 8시간 전 등록
[2025-06-29 06:00:34] INFO - 0074 | 메타잉글리시 어학원 | [경력] 초등어학원 상담 실장님 모십니다 | 8시간 전 등록
[2025-06-29 06:00:34] INFO - 0075 | 안테나미술학원 | 강남 입시미술학원 전임강사 채용 [기초디자인 기초조형 기초소양 실기강사 | 8시간 전 등록
[2025-06-29 06:00:34] INFO - 0076 | 주식회사대건 | [분양대행] 신규 분양상담사 모집 | 8시간 전 등록
[2025-06-29 06:00:34] INFO - 0077 | 튜블릿코리아㈜ | 글로벌 에듀테크 서비스 `업그레이드` 경영기획 채용 | 8시간 전 등록
[2025-06-29 06:00:34] INFO - 0078 | 주식회사 지엔비 | 방배동 아파트 보안 대원(팀원) 구인 | 8시간 전 등록
[2025-06-29 06:00:34] INFO - 0079 | 김현구국어학원주식회사 | [목동 김현구국어학원] 2025 데스크 실장 추가 모집 | 8시간 전 등록
[2025-06-29 06:00:34] INFO - 0080 | ㈜온리원에듀 지점 | [은평] 압도적 1위 영어 학원 | 8시간 전 등록
[2025-06-29 06:00:35] INFO - 0081 | 이종현(닥터망고) | (높은연봉, 인센티브) 코디네이터 채용합니다. | 8시간 전 등록
[2025-06-29 06:00:35] INFO - 0082 | ㈜신성씨앤에스 | [강소기업] IT제품 영업지원 경력자 채용 | 8시간 전 등록
[2025-06-29 06:00:35] INFO - 0083 | 올인컴플리트 | [올인컴플리트] 디자이너 패션잡화 브랜드 온라인 MD 채용 | 8시간 전 등록
[2025-06-29 06:00:35] INFO - 0084 | ㈜케이씨엠에스 | 을지로 한화파워시스템 신구매물류시스템 구축 (s03) | 8시간 전 등록
[2025-06-29 06:00:35] INFO - 0085 | 한라에셋 | [주5일 4시간 근무 / 초보환영] 부동산 업무 내근직 직원 모집 | 8시간 전 등록
[2025-06-29 06:00:35] INFO - 0086 | 릭택스 | 세무사사무소 부가가치세 신고대리 아르바이트 모집 / 결산 6회이상 경력자 | 8시간 전 등록
[2025-06-29 06:00:35] INFO - 0087 | 유로스커피 로스터스 선릉점 | [유로스커피 로스터스] 로스터 모집 | 8시간 전 등록
[2025-06-29 06:00:36] INFO - 0088 | ㈜구일지엘에스 | 포워딩 해상 수출입 오퍼레이션 채용 (경력) | 8시간 전 등록
[2025-06-29 06:00:36] INFO - 0089 | ㈜케이씨엠에스 | 여의도 JB우리캐피탈 ITO 개발 및 운영 (s03) | 8시간 전 등록
[2025-06-29 06:00:36] INFO - 0090 | 지니쿡 | 지니쿡 케이터링 조리업무 정직원 채용 공고 | 8시간 전 등록
[2025-06-29 06:00:36] INFO - 0091 | ㈜아이씨티스카이 | [CGV기흥] 영화관 정직원 모집 공고 | 8시간 전 등록
[2025-06-29 06:00:36] INFO - 0092 | 헤일로웍스(HaloWorks) | [기본급제공] 분양영업, 당신도 할 수 있습니다. (인센티브 상한제 X) | 8시간 전 등록
[2025-06-29 06:00:36] INFO - 0093 | 원병원 | 정신건강의학과 남자병동 야간전담 (요양)보호사 구인합니다. | 8시간 전 등록
[2025-06-29 06:00:37] INFO - 0094 | 퍼펙트플랜 | 꿀 청소 직원 채용합니다 당일지급 | 8시간 전 등록
[2025-06-29 06:00:37] INFO - 0095 | 코너스톤키즈 | 유아 놀이영어센터 SNS 마케터님을 모십니다. | 8시간 전 등록
[2025-06-29 06:00:37] INFO - 0096 | ㈜파우스 | 서산 파우스542 바리스타 파트타이머 구합니다 | 9시간 전 등록
[2025-06-29 06:00:37] INFO - 0097 | 평행공간 | 경력직 Full Stack개발자 구인 | 9시간 전 등록
[2025-06-29 06:00:37] INFO - 0098 | ㈜씨엠엘앤코 | [카멜커피] 바리스타(풀타이머) 모집 | 9시간 전 등록
[2025-06-29 06:00:37] INFO - 0099 | 오라잇 | [ 급구 ] 주 6일 답십리역 인근 음식점 발렛근무자 모집 | 9시간 전 등록
[2025-06-29 06:00:38] INFO - 0100 | 사운즈커피 프리미어 강남 | 사운즈커피 법원교대역점 바리스타 구인 | 9시간 전 등록
[2025-06-29 06:00:38] INFO - ⏱ 3.26초 대기
[2025-06-29 06:00:42] INFO - 
📄 현재 페이지: 3
[2025-06-29 06:00:42] INFO - 0101 | ㈜폴콘블랙 | 미사 베이커리카페 `폴콘블랙` 기획 직원 모집 | 9시간 전 등록
[2025-06-29 06:00:42] INFO - 0102 | 플러스33 | 창원가로수길 프렌치레스토랑 플러스33에서 주방직원 구해요 | 9시간 전 등록
[2025-06-29 06:00:42] INFO - 0103 | ㈜소리영어 | 영어강사 모집합니다 | 9시간 전 등록
[2025-06-29 06:00:43] INFO - 0104 | 로즈베이피제리아 | 로즈베이피제리아, 화덕피자 주방 모집합니다. | 9시간 전 등록
[2025-06-29 06:00:43] INFO - 0105 | 오픈오븐 | [오픈오븐] 제과제빵 생산직 채용 | 9시간 전 등록
[2025-06-29 06:00:43] INFO - 0106 | ㈜오버파워 | 횡재미가(쌀브랜드) 인터넷쇼핑몰 온라인 AMD 사무보조 알바 아르바이트 | 9시간 전 등록
[2025-06-29 06:00:43] INFO - 0107 | 제이아이앤씨 | [프리랜서/재택근무] 남성 의류쇼핑몰 MD 채용 | 9시간 전 등록
[2025-06-29 06:00:43] INFO - 0108 | 헬렌 북클럽 | 온라인 영어 교육 기관 재택 상담 실장 (경력자) | 9시간 전 등록
[2025-06-29 06:00:43] INFO - 0109 | 프로젝트에이3(project A3) | 방문일정섭외TM(재택근무) | 9시간 전 등록
[2025-06-29 06:00:43] INFO - 0110 | ㈜리틀넥 | (주) GFFG - 브런치레스토랑 리틀넥 한남점 주방에서 함께할 직원 모집중 | 9시간 전 등록
[2025-06-29 06:00:44] INFO - 0111 | ㈜블렌즈 | 공간디자인 전문가 디자인 프로페셔널을 모십니다 | 9시간 전 등록
[2025-06-29 06:00:44] INFO - 0112 | 서울중앙요양병원 | [서대문역] 서울중앙요양병원 조리 보조원 근무자 구인 | 9시간 전 등록
[2025-06-29 06:00:44] INFO - 0113 | 제이씨앤씨 | 웹 퍼블리셔 채용 | 9시간 전 등록
[2025-06-29 06:00:44] INFO - 0114 | ㈜오버파워 | 횡재미가(쌀브랜드) 인터넷쇼핑몰 온라인 식품 전문 MD(엠디) 구함 | 9시간 전 등록
[2025-06-29 06:00:44] INFO - 0115 | 하모니오토모빌(유) | BYD 공식 딜러사 세일즈 본부 마포지점 리셉션/카페운영자 모집 | 9시간 전 등록
[2025-06-29 06:00:44] INFO - 0116 | 더 끌림 미디어 | 더끌림미디어 광고제안 아웃바운드TM 채용 | 9시간 전 등록
[2025-06-29 06:00:44] INFO - 0117 | 띵크앤 리드 대치영어학원 | 초등 영어학원 1:1 리딩, 라이팅 튜터 | 9시간 전 등록
[2025-06-29 06:00:45] INFO - 0118 | (주)올바론에듀 | [광주, 남구] 국어고등 강사모집 | 9시간 전 등록
[2025-06-29 06:00:45] INFO - 0119 | (주)올바론에듀 | [광주, 남구] 영어고등 강사모집 | 9시간 전 등록
[2025-06-29 06:00:45] INFO - 0120 | (주)올바론에듀 | [광주, 남구] 영어중등 강사모집 | 9시간 전 등록
[2025-06-29 06:00:45] INFO - 0121 | 빽다방 빵연구소 호텔더본점 | 빽다방 빵연구소 호텔더본점 카페 정직원 채용 | 9시간 전 등록
[2025-06-29 06:00:45] INFO - 0122 | (주)올바론에듀 | [광주, 남구] 영어초등 강사모집 | 9시간 전 등록
[2025-06-29 06:00:45] INFO - 0123 | ㈜라라엘나라 | 이탈리안 레스토랑 루체라[Luce La] 요리사[Chef] 채용 | 9시간 전 등록
[2025-06-29 06:00:46] INFO - 0124 | 미래금 | [송도 센트럴파크 호텔] 프론트데스크 정규직 추가 모집 | 9시간 전 등록
[2025-06-29 06:00:46] INFO - 0125 | 주식회사 제이제이아이앤씨 | MD/마케팅 온라인/고양시향동동 | 9시간 전 등록
[2025-06-29 06:00:46] INFO - 0126 | 정정균치과 | 치과 진료실 직원 모집 | 10시간 전 등록
[2025-06-29 06:00:46] INFO - 0127 | (유)나이키코리아 | [남양주] 나이키코리아 직영점 주 40시간 직원 모집 | 10시간 전 등록
[2025-06-29 06:00:46] INFO - 0128 | 상무초밥 김포구래점 | 상무초밥에서 근무할 주방 직원 구인합니다.(신입/대리/과장) | 10시간 전 등록
[2025-06-29 06:00:46] INFO - 0129 | 렌즈미안동점 | 렌즈미안동점 정규직 직원 채용합니다 | 10시간 전 등록
[2025-06-29 06:00:46] INFO - 0130 | 블루그라운드코리아㈜ | Customer experience coordinator 채용 | 10시간 전 등록
[2025-06-29 06:00:47] INFO - 0131 | (유)나이키코리아 | [남양주] 나이키코리아 직영점 주 16시간 직원 모집 | 10시간 전 등록
[2025-06-29 06:00:47] INFO - 0132 | 동화세상에듀코 | 계열사 상품 온라인 마케팅/상담/영업직 채용 | 10시간 전 등록
[2025-06-29 06:00:47] INFO - 0133 | 메가팩토리약국 | 물류 및 창고관리, 매장 진열 담당자 | 10시간 전 등록
[2025-06-29 06:00:47] INFO - 0134 | 나도디자인 | 인테리어 디자이너분 모셔요. | 10시간 전 등록
