[2025-07-19 06:00:02] INFO - 🔧 Logging initialized
[2025-07-19 06:00:02] INFO - 프로그램 시작됨
[2025-07-19 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-19 06:00:16] INFO - 🔢 총 공고 수: 182067건 → 최대 페이지 수: 3642 페이지
[2025-07-19 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-19 06:00:22] INFO - 0040 | ㈜씨아이템프러리 | [23일마감/월300이상/을지로입구역] IM캐피탈 단기미납 회수담당 채용 | 5시간 전 등록
[2025-07-19 06:00:22] INFO - 0041 | ㈜엠제이플렉스 | [JTBC/송출] `팩트체크` 채널 라이브 송출/썸네일 제작 채용 | 5시간 전 등록
[2025-07-19 06:00:23] INFO - 0042 | ㈜케이티씨에스 | [ktcs정규직/수원] KT엠모바일 알뜰폰 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-19 06:00:23] INFO - 0043 | 인트로맨㈜ | 사무보조/부서업무지원/연봉협의가능/(주)한독/중식제공/복지P 90 | 5시간 전 등록
[2025-07-19 06:00:23] INFO - 0044 | 인트로맨㈜ | [수원/망포역/셔틀버스] 큐로드 글로벌CS 채용 / 영어 / 주5일 | 5시간 전 등록
[2025-07-19 06:00:23] INFO - 0045 | 엔젤스태프 | [세브란스병원/신입/경력]수술간호팀 업무지원사원 채용 | 5시간 전 등록
[2025-07-19 06:00:23] INFO - 0046 | 보보스링크㈜ | [광명역/250만/주5일]홍콩반점 주방조리사 채용(신규오픈매장) | 5시간 전 등록
[2025-07-19 06:00:23] INFO - 0047 | 리드커리어 주식회사 | [식대지급/연3000만/재택병행] 지그재그 리빙 사업팀 AMD 채용 | 5시간 전 등록
[2025-07-19 06:00:24] INFO - 0048 | JMP코리아 | [평내호평역 인근/스케줄 근무] 자동차 관련 센터 관리자 채용 | 5시간 전 등록
[2025-07-19 06:00:24] INFO - 0049 | 리드커리어 주식회사 | [재택/ 정규전환]쿠팡 본사 PBS 일본어 검색품질 평가 대규모 채용 | 5시간 전 등록
[2025-07-19 06:00:24] INFO - 0050 | 동호에이치알㈜ | [신입가능/문정역] AJ ICT 무인 주차장 인바운드 상담원 채용 | 5시간 전 등록
[2025-07-19 06:00:24] INFO - ⏱ 1.77초 대기
[2025-07-19 06:00:26] INFO - 
📄 현재 페이지: 2
[2025-07-19 06:00:27] INFO - 0051 | 애드민 | [7/29면접/상여,인센별도] 현대카드 단기채권회수직 채용 | 5시간 전 등록
[2025-07-19 06:00:27] INFO - 0052 | 고려휴먼스㈜ | [종로5가/마감임박] SGI서울보증 비서 및 사무지원 | 5시간 전 등록
[2025-07-19 06:00:27] INFO - 0053 | 보보스링크㈜ | [주5일/식사제공]유아용품 단순생산 및 물류창고 사원 채용 | 5시간 전 등록
[2025-07-19 06:00:27] INFO - 0054 | ㈜엠제이플렉스 | [촬영보조/3명 채용] KBS 영상취재부 영상제작보조 | 5시간 전 등록
[2025-07-19 06:00:27] INFO - 0055 | 애드민 | [종로/공기업]서울보증보험 본사 해외사업부 본부장 비서직 채용 | 5시간 전 등록
[2025-07-19 06:00:27] INFO - 0056 | ㈜휴머니아 | [무제한성과/종각] SGI신용정보 통신채권 상담원 채용 | 5시간 전 등록
[2025-07-19 06:00:28] INFO - 0057 | ㈜티오에스코리아 | [종로/업무환경上/퇴사율제로]서울보증보험 본사 팀비서 채용 | 5시간 전 등록
[2025-07-19 06:00:28] INFO - 0058 | ㈜잡스테이션 | [기숙사지원-셔틀운행-주간고정/주5일-보일러부품조립]음성 | 5시간 전 등록
[2025-07-19 06:00:28] INFO - 0059 | ㈜제이앤비컨설팅 | (연4500/성과급/휴가비별도/복지최상) 기아(주)양재본사 비서 채용 | 5시간 전 등록
[2025-07-19 06:00:28] INFO - 0060 | ㈜제이앤비컨설팅 | (여의도/월350이상/자체직전환가능) 현대카드 단기채권 회수상담 채용 | 5시간 전 등록
[2025-07-19 06:00:28] INFO - 0061 | 에스엠케이 | 대기업PCB 1차협력사 전공정채용 [기숙사무료/통근버스/정착지원금/상여금] | 5시간 전 등록
[2025-07-19 06:00:28] INFO - 0062 | 에스엠케이 | 안산 HPCB 전공정채용 (기숙사1,2인실무료/정착지원금/상여300/통근버스) | 5시간 전 등록
[2025-07-19 06:00:28] INFO - 0063 | 에스엠케이 | 시화공단 기숙사 통근버스 상여금 BBT 전자회로검사 샘플수입출하 사원채용 | 5시간 전 등록
[2025-07-19 06:00:29] INFO - 0064 | ㈜잡스테이션 | [주급가능/1인실기숙사/월330만이상/주간고정]강관 생산/음성 | 5시간 전 등록
