[2025-07-13 06:00:01] INFO - 🔧 Logging initialized
[2025-07-13 06:00:02] INFO - 프로그램 시작됨
[2025-07-13 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-13 06:00:19] INFO - 🔢 총 공고 수: 178427건 → 최대 페이지 수: 3569 페이지
[2025-07-13 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-13 06:00:26] INFO - 0038 | 리드커리어 주식회사 | [ 인센티브多 ] 벤츠 서초전시장 차량 전문가(PE/도슨트) 직원 채용 | 5시간 전 등록
[2025-07-13 06:00:26] INFO - 0039 | 트랜스코스모스코리아 | [여의도본사] 당사 영업1부 경력직 채용 Zn3W | 5시간 전 등록
[2025-07-13 06:00:26] INFO - 0040 | 리드커리어 주식회사 | [가디역/ 워라밸] 카카오 메이커스 뮤직 쇼핑 콘텐츠 운영 담당자 채용 | 5시간 전 등록
[2025-07-13 06:00:26] INFO - 0041 | 하랑 | [주말근무/대학생/투잡가능] LG유플러스 전주센터 기술지원 쉬운 업무 | 5시간 전 등록
[2025-07-13 06:00:26] INFO - 0042 | ㈜케이티아이에스 | [주4일/금-월/3개월단기] 레드캡렌터카 고객상담사 모집 | 5시간 전 등록
[2025-07-13 06:00:27] INFO - 0043 | ㈜제인솔루션 | [정규직] CEO 의전 수행비서 경력 사원 모집합니다. | 5시간 전 등록
[2025-07-13 06:00:27] INFO - 0044 | ㈜제니엘 | [신입가능/주5일] 메이크업 뷰티브랜드 에스쁘아 연남 주니어 채용 | 5시간 전 등록
[2025-07-13 06:00:27] INFO - 0045 | ㈜파인스태프 | [문래역] 나이스페이먼츠 가맹점관리 사무직/점심시간90분 | 5시간 전 등록
[2025-07-13 06:00:27] INFO - 0046 | ㈜파인스태프 | 코오롱 BMW 부산 서비스센터 리셉션/실업급여가능 | 5시간 전 등록
[2025-07-13 06:00:27] INFO - 0047 | ㈜파인스태프 | 코오롱 강남 수출입 무역사무사원 채용/실업급여 | 5시간 전 등록
[2025-07-13 06:00:27] INFO - 0048 | ㈜제인솔루션 | 자사몰 CS 고객상담 및 사무업무 사원 모집합니다. / 세마역 부근 | 5시간 전 등록
[2025-07-13 06:00:27] INFO - 0049 | ㈜잡스테이션 | [주급가/청주공단內]하이닉스현장-단순바닥시공,유지보수 모집 | 5시간 전 등록
[2025-07-13 06:00:28] INFO - 0050 | ㈜잡스테이션 | [코오롱계열사/복지우수/기숙사]우정힐스CC- 식음료(홀서버) 모집 | 5시간 전 등록
[2025-07-13 06:00:28] INFO - ⏱ 3.17초 대기
[2025-07-13 06:00:31] INFO - 
📄 현재 페이지: 2
[2025-07-13 06:00:32] INFO - 0051 | 트랜스코스모스코리아 | [채팅상담/평일근무] 카카오 선물하기 주문/배송 채팅상담 ZXe4 | 5시간 전 등록
[2025-07-13 06:00:32] INFO - 0052 | ㈜잡스테이션 | [기숙사有/신입가]아난티중앙CC-프런트 모집 | 5시간 전 등록
[2025-07-13 06:00:32] INFO - 0053 | ㈜잡스테이션 | [급구]주급가능/셔틀운행/주야교대/냉동만두생산업무/상여금별도지급 | 5시간 전 등록
[2025-07-13 06:00:32] INFO - 0054 | ㈜유원커리어센터 | [월240만]공공기관/임원비서 | 5시간 전 등록
[2025-07-13 06:00:32] INFO - 0055 | 피엔에이링크 | [CLARINS 클라랑스] 백화점 럭셔리 스킨케어 뷰티 매장 직원 채용 | 5시간 전 등록
[2025-07-13 06:00:32] INFO - 0056 | 트랜스코스모스코리아 | [여의도/특급호텔] 페어몬트앰배서더 호텔 고객지원센터 파트장 채용 ZJj3 | 5시간 전 등록
[2025-07-13 06:00:33] INFO - 0057 | 토스씨엑스㈜ | [7/23 서류마감] 인하우스 상담 Customer Hero 신입 / 경력별 채용 | 5시간 전 등록
[2025-07-13 06:00:33] INFO - 0058 | ㈜동양이엠에스 | [서초구/ 서울성모병원] 구내식당 주방보조 | 5시간 전 등록
[2025-07-13 06:00:33] INFO - 0059 | ㈜잡스테이션 | [기숙사제공/주5일/신입가] 기흥CC(경기화성) - 프런트/예약실 모집 | 5시간 전 등록
[2025-07-13 06:00:33] INFO - 0060 | 아이비커리어㈜ | [통근버스] 삼성이앤에이 본사 팀비서(서무) 채용 | 5시간 전 등록
[2025-07-13 06:00:33] INFO - 0061 | ㈜잡스테이션 | [셔틀운행/신입가] 신라CC-식음료(F&B) 모집 | 5시간 전 등록
[2025-07-13 06:00:33] INFO - 0062 | ㈜잡스테이션 | [기숙사제공] 뉴스프링빌이천CC-골프장 시설물관리자 모집 | 5시간 전 등록
[2025-07-13 06:00:34] INFO - 0063 | ㈜맨파워코리아 | [이천/대월] 화장품 물류센터 지게차업무 계약직 채용 (3개월) | 5시간 전 등록
[2025-07-13 06:00:34] INFO - 0064 | ㈜일구구이로지스 | 포항 쿠팡 지입가사 모집합니다 (모벤티스) | 6시간 전 등록
[2025-07-13 06:00:34] INFO - 0065 | 제이디컨설팅㈜ | [여의도/월239만]-대형회계법인 청소 및 미화업무 채용 | 6시간 전 등록
[2025-07-13 06:00:34] INFO - 0066 | ㈜파르노 | 서래마을 브런치 파르노 홀 매니저 구인합니다. | 6시간 전 등록
[2025-07-13 06:00:34] INFO - 0067 | ㈜파르노 | 서래마을 브런치 파르노 신입 요리사 구인합니다. | 7시간 전 등록
[2025-07-13 06:00:34] INFO - 0068 | 지음학원 | 수학전문 지음학원 남문분원에서 초중등부 수학 선생님을 모십니다. | 7시간 전 등록
[2025-07-13 06:00:34] INFO - 0069 | ㈜미식혼포 | 현대백화점 충청점 데판혼포에서 주방직원 및 매니저 하실분 구합니다. | 7시간 전 등록
[2025-07-13 06:00:35] INFO - 0070 | 매일경제티브이 | 기술감독(육아휴직 대체 인력) 채용 | 7시간 전 등록
[2025-07-13 06:00:35] INFO - 0071 | 서울동물의료센터 | 대치동 서울동물의료센터에서 정규직 리셉셔니스트를 모집합니다 | 8시간 전 등록
[2025-07-13 06:00:35] INFO - 0072 | 셰프테이너 | 한남동 셰프테이너 레스토랑 홀 지배인, 홀 직원 모집합니다 | 8시간 전 등록
[2025-07-13 06:00:35] INFO - 0073 | ㈜태린홀딩스 | (주)태린홀딩스 해외영업(영어 필수, 제2외국어 능통자) 정직원 채용 | 8시간 전 등록
[2025-07-13 06:00:35] INFO - 0074 | ㈜태린홀딩스 | 회계 경력직 모십니다 .(자격증필수,결산) | 8시간 전 등록
[2025-07-13 06:00:35] INFO - 0075 | ㈜제이앤에스코리아 - 러쉬트램펄린 | 송도 키즈카페 러쉬트램펄린 매장관리 정규직(경력자)모집중 | 8시간 전 등록
