[2025-07-20 06:00:01] INFO - 🔧 Logging initialized
[2025-07-20 06:00:02] INFO - 프로그램 시작됨
[2025-07-20 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-20 06:00:20] INFO - 🔢 총 공고 수: 177882건 → 최대 페이지 수: 3558 페이지
[2025-07-20 06:00:20] INFO - 
📄 현재 페이지: 1
[2025-07-20 06:00:26] INFO - 0037 | ㈜씨아이템프러리 | 월-300만/대출심사 [롯데캐피탈] 대출관련 서류심사직 채용 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0038 | ㈜프로에스콤 | [용산역-드래곤시티호텔 / 보안사원 채용] 3교대근무. 좌식근무병행 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0039 | ㈜잡스테이션 | [기숙사제공/주5일/신입가] 기흥CC(경기화성) - 예약실 /식음료 모집 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0040 | ㈜파인스태프 | 코오롱 BMW 대전 서비스센터 리셉션모집/커리어향상시키기 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0041 | ㈜파인스태프 | [문래역] 나이스페이먼츠 가맹점관리 사무직/보건휴가별도 | 5시간 전 등록
[2025-07-20 06:00:27] INFO - 0042 | ㈜잡스테이션 | [연4000만이상/사택기숙사] 천룡CC - 식음팀 주임-대리/바리스타 모집 | 5시간 전 등록
[2025-07-20 06:00:27] INFO - 0043 | 트랜스코스모스코리아 | [하루출근후재택/4H근무] 쿠팡이츠 단순 상담 ZRd3 | 5시간 전 등록
[2025-07-20 06:00:27] INFO - 0044 | 트랜스코스모스코리아 | [하루출근후재택/시간선택] 쿠팡이츠 단순 상담 ZXg1 | 5시간 전 등록
[2025-07-20 06:00:27] INFO - 0045 | 트랜스코스모스코리아 | [신규오픈]아이리스브라이트 관리자(운영팀장,QA)채용 ZQg9 | 5시간 전 등록
[2025-07-20 06:00:27] INFO - 0046 | ㈜보보스링크 | [주5일 스케줄/연봉협의] 폴로 랄프로렌 압구정 갤러리아 판매 직원 모집 | 5시간 전 등록
[2025-07-20 06:00:27] INFO - 0047 | ㈜엠플라인 | [상암/주5일]iMBC 뉴스 편집/등록 에디터 채용 | 5시간 전 등록
[2025-07-20 06:00:28] INFO - 0048 | 에이스휴먼파워㈜ | [기숙사(월3만) / 주야간교대] LG이노텍 구미공장 / 8월부터 순차적입사 | 5시간 전 등록
[2025-07-20 06:00:28] INFO - 0049 | 에이스휴먼파워㈜ | [LG이노텍/구미공장] 스마트폰 부품 검사·제조 채용/8월 순차적입사 | 5시간 전 등록
[2025-07-20 06:00:28] INFO - 0050 | 에이스휴먼파워㈜ | LG이노텍과 함께 성장할 인재모집 [구미공장 / 대규모 채용] 8월순차적입사 | 5시간 전 등록
[2025-07-20 06:00:28] INFO - ⏱ 2.92초 대기
[2025-07-20 06:00:31] INFO - 
📄 현재 페이지: 2
[2025-07-20 06:00:32] INFO - 0051 | 에이스휴먼파워㈜ | [LG이노텍/구미공장] 스마트폰 부품 제조 및 검사원 / 8월 순차적입사 | 5시간 전 등록
[2025-07-20 06:00:32] INFO - 0052 | 에이스휴먼파워㈜ | [LG이노텍/구미공장] 스마트폰 부품 제조 및 검사원 채용 / 8월 순차적입사 | 5시간 전 등록
[2025-07-20 06:00:32] INFO - 0053 | ㈜잡스테이션 | [기숙사有] 뉴스프링빌이천골프장-시설물관리자 모집 | 5시간 전 등록
[2025-07-20 06:00:32] INFO - 0054 | ㈜잡스테이션 | [기숙사有/신입가]아난티중앙CC-프런트 채용 | 5시간 전 등록
[2025-07-20 06:00:32] INFO - 0055 | ㈜케이티아이에스 | [3개월단기근무/난이도매우쉬움] 신세계아울렛 상담직 모집 | 5시간 전 등록
[2025-07-20 06:00:32] INFO - 0056 | ㈜잡스테이션 | [기숙사제공/경기화성] 에덴블루골프장-전기안전관리자 모집 | 5시간 전 등록
[2025-07-20 06:00:33] INFO - 0057 | 트랜스코스모스코리아 | [영어/일본어] 올리브영 해외고객 대상 이메일, SNS 응대 (13-22시) ZEc2 | 5시간 전 등록
[2025-07-20 06:00:33] INFO - 0058 | ㈜선정인터내셔날 | [세종시/사무보조] 한국자산관리공사 | 5시간 전 등록
[2025-07-20 06:00:33] INFO - 0059 | 유니에스 | [주5일/식사제공/시청/광화문] TV조선 팀 총무담당 채용 | 5시간 전 등록
[2025-07-20 06:00:33] INFO - 0060 | 디디하이브 | MCN 인플루언서 커머스 매니저 | 5시간 전 등록
[2025-07-20 06:00:33] INFO - 0061 | 디디하이브 | MD · AMD | 5시간 전 등록
