[2025-07-27 06:00:01] INFO - 🔧 Logging initialized
[2025-07-27 06:00:03] INFO - Loading faiss.
[2025-07-27 06:00:03] INFO - Successfully loaded faiss.
[2025-07-27 06:00:03] INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
[2025-07-27 06:00:03] INFO - 프로그램 시작됨
[2025-07-27 06:00:03] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-27 06:00:21] INFO - 🔢 총 공고 수: 178065건 → 최대 페이지 수: 3562 페이지
[2025-07-27 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-27 06:00:29] INFO - 0036 | ㈜잡스테이션 | [기숙사제공/경기안성] 에덴블루CC-골프장 코스관리 사원 모집 | 5시간 전 등록
[2025-07-27 06:00:29] INFO - 0037 | 에이스휴먼파워㈜ | [LG이노텍/구미공장] 스마트폰 부품 검사·제조 채용/8월부터 순차적입사 | 5시간 전 등록
[2025-07-27 06:00:29] INFO - 0038 | 에이스휴먼파워㈜ | [LG이노텍/구미공장] 스마트폰 부품 제조 및 검사원 / 8월부터 순차 입사 | 5시간 전 등록
[2025-07-27 06:00:29] INFO - 0039 | 트랜스코스모스코리아 | [월평균259만/평일] 저축은행 주택담보대출 안내 상담 ZRb7 | 5시간 전 등록
[2025-07-27 06:00:30] INFO - 0040 | 제이제이워크 | 정규직/신설공장/2조2교대/주5일근무/동반가능 | 5시간 전 등록
[2025-07-27 06:00:30] INFO - 0041 | 제이제이워크 | 정규직 공구 생산직 직원채용, 높은 급여, 기숙사 지원, 통근 | 5시간 전 등록
[2025-07-27 06:00:30] INFO - 0042 | 제이제이워크 | 반도체관련 BBT/OP/품질/생산/상여300만/교대근무모집/기숙사운영 | 5시간 전 등록
[2025-07-27 06:00:30] INFO - 0043 | 리드커리어 주식회사 | 한성자동차 벤츠 부평서비스센터 접수데스크/리셉션 채용 | 5시간 전 등록
[2025-07-27 06:00:30] INFO - 0044 | 주식회사 엠피씨플러스 | [평일근무] 몽블랑 고객센터 인바운드/채팅 CS상담사 채용 | 5시간 전 등록
[2025-07-27 06:00:31] INFO - 0045 | 트랜스코스모스코리아 | [메일상담/전화X] 카카오톡 이용 관련 단순 상담 ZPe9 | 5시간 전 등록
[2025-07-27 06:00:31] INFO - 0046 | ㈜신한서브 | [자체계약직/중구/다수채용] 신한저축은행 부문별 신규채용 | 5시간 전 등록
[2025-07-27 06:00:31] INFO - 0047 | ㈜파인스태프 | [지금이기회] 코오롱 BMW 대전전시장 사무직 채용 | 5시간 전 등록
[2025-07-27 06:00:31] INFO - 0048 | ㈜잡스테이션 | [기숙사제공] 에덴블루CC-골프장 전기안전관리자 모집 | 5시간 전 등록
[2025-07-27 06:00:32] INFO - 0049 | 피엔에이링크 | [VALMONT 발몽] 현대백화점 스위스 뷰티브랜드 매장 직원 채용 | 5시간 전 등록
[2025-07-27 06:00:32] INFO - 0050 | ㈜선정인터내셔날 | [양재/채무조정] 공기업 업무지원 | 5시간 전 등록
[2025-07-27 06:00:32] INFO - ⏱ 2.21초 대기
[2025-07-27 06:00:35] INFO - 
📄 현재 페이지: 2
[2025-07-27 06:00:35] INFO - 0051 | 유니에스 | [총무직/주5일/중식제공] TV조선 본사 총무담당 채용 | 5시간 전 등록
[2025-07-27 06:00:35] INFO - 0052 | ㈜잡스테이션 | [기숙사제공/주5일/신입가] 기흥CC(경기화성) - 예약실 모집 | 5시간 전 등록
[2025-07-27 06:00:36] INFO - 0053 | 제이제이워크 | 코스피상장회사/대기업거래 전자회사/기숙사지원/교대근무/통근운행 | 5시간 전 등록
[2025-07-27 06:00:36] INFO - 0054 | 하랑 | [교육부터 재택/장비배송 지원] 쿠팡 이용문의 안내업무 [근무시간대 선택] | 5시간 전 등록
[2025-07-27 06:00:36] INFO - 0055 | 제이제이워크 | 마이크로비트 / 썬루프 / 모터제조 / 정규직 / 교대근무 / 기숙사운영 | 5시간 전 등록
[2025-07-27 06:00:36] INFO - 0056 | ㈜케이에스한국고용정보 | [관리자채용] 대한항공/아시아나 KB카드 VIP전담 예약발권 부팀장 | 5시간 전 등록
[2025-07-27 06:00:37] INFO - 0057 | ㈜잡스테이션 | [코오롱계열사/기숙사/복지우수]우정힐스CC- 식음료(F&B) 모집 | 5시간 전 등록
