[2025-07-05 06:00:02] INFO - 🔧 Logging initialized
[2025-07-05 06:00:02] INFO - 프로그램 시작됨
[2025-07-05 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-05 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-05 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-05 06:01:26] INFO - 🔢 총 공고 수: 179704건 → 최대 페이지 수: 3595 페이지
[2025-07-05 06:01:26] INFO - 
📄 현재 페이지: 1
[2025-07-05 06:01:32] INFO - 0033 | 동호에이치알㈜ | [여의도/외국계 중견 코스메틱 기업] 홈쇼핑영업팀 채용(경력 2년이상) | 5시간 전 등록
[2025-07-05 06:01:32] INFO - 0034 | 에이스휴먼파워㈜ | [삼성카드]울산지역 단기연체 채권추심 상담 및 방문추심 채용 | 5시간 전 등록
[2025-07-05 06:01:32] INFO - 0035 | 에이스휴먼파워㈜ | [삼성카드] 창원지역 단기채권 상담 및 방문 추심직 채용 | 5시간 전 등록
[2025-07-05 06:01:32] INFO - 0036 | ㈜엠제이플렉스 | [AD/월233만] 한국경제TV 뉴스제작팀 제작/AD/생방송/진행 채용 | 5시간 전 등록
[2025-07-05 06:01:33] INFO - 0037 | ㈜네트론 | 영업관리 계약직 신입 사원 모집합니다. | 5시간 전 등록
[2025-07-05 06:01:33] INFO - 0038 | 보보스링크㈜ | [딜사이트티브이/신입가능]음향 AD 구인 | 5시간 전 등록
[2025-07-05 06:01:33] INFO - 0039 | 퍼솔켈리코리아 유한회사 | [차고지/일원동/HD현대오일뱅크] 임원 수행기사 채용 | 5시간 전 등록
[2025-07-05 06:01:33] INFO - 0040 | 퍼솔켈리코리아 유한회사 | [차고지/망우동/HD현대오일뱅크] 임원 수행기사 채용 | 5시간 전 등록
[2025-07-05 06:01:33] INFO - 0041 | ㈜케이티아이에스 | [고정급249만/9-18시] 아마노코리아 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-05 06:01:33] INFO - 0042 | 에이스휴먼파워㈜ | [광주매월동/전산지원/금융사/7-8번상여금] JB우리캐피탈 호남지점 채용 | 5시간 전 등록
[2025-07-05 06:01:34] INFO - 0043 | 에이스휴먼파워㈜ | [주2일] 윈팩 구내식당 주말 주간/야간 조리사 채용 | 5시간 전 등록
[2025-07-05 06:01:34] INFO - 0044 | ㈜유니에스 | 세브란스병원 - 인사팀 행정지원 사원 채용 (3개월) | 5시간 전 등록
[2025-07-05 06:01:34] INFO - 0045 | ㈜로아스 | 로봇 전장 엔지니어 경력 | 5시간 전 등록
[2025-07-05 06:01:34] INFO - 0046 | ㈜케이티아이에스 | [중앙대 광명병원/ 월 234만] 예약 상담사 모집 | 5시간 전 등록
[2025-07-05 06:01:34] INFO - 0047 | 에이스휴먼파워㈜ | [주5일/인천/대기업] 흥국화재해상보험 금융 사무 채용 | 5시간 전 등록
[2025-07-05 06:01:34] INFO - 0048 | 에이스휴먼파워㈜ | [역삼/꿀업무/월252만/근속수당]롯데캐피탈 안내데스크 채용(1층아님) | 5시간 전 등록
[2025-07-05 06:01:35] INFO - 0049 | 에이스휴먼파워㈜ | [단기미납/인센높음/상여7-8회] JB우리캐피탈 미납 상담원 채용 | 5시간 전 등록
[2025-07-05 06:01:35] INFO - 0050 | ㈜로아스 | 로봇 기술 영업 경력 | 5시간 전 등록
[2025-07-05 06:01:35] INFO - ⏱ 2.89초 대기
[2025-07-05 06:01:38] INFO - 
📄 현재 페이지: 2
[2025-07-05 06:01:38] INFO - 0051 | 피엔에이링크 | [CLARINS 클라랑스] 신세계백화점 스위스 뷰티 브랜드 매장 직원 채용 | 5시간 전 등록
[2025-07-05 06:01:39] INFO - 0052 | ㈜바이와이제이 | 물류팀 현장직 | 5시간 전 등록
[2025-07-05 06:01:39] INFO - 0053 | ㈜삼구아이앤씨 | [시청역/을지로입구역] 서울 소공동 사옥 시설팀장 모집 | 5시간 전 등록
[2025-07-05 06:01:39] INFO - 0054 | ㈜허니비즈에이치알디 | 여름방학 영어 캠프 상주 간호사 모집 | 5시간 전 등록
[2025-07-05 06:01:39] INFO - 0055 | 현대총신대역판매대리 | [현대자동차] 총신대역 대리점 영업사원 모집 | 5시간 전 등록
[2025-07-05 06:01:39] INFO - 0056 | 애드민 | [주5일/강남/역삼역] 롯데캐피탈 컬렉션운영1팀 사무업무 담당 채용 | 5시간 전 등록
[2025-07-05 06:01:39] INFO - 0057 | DB손해보험㈜ | 특혜 교육비 총80/경쟁사 없는 오토바이(라이더)보험 출시 쉬운영업 | 5시간 전 등록
[2025-07-05 06:01:40] INFO - 0058 | 혁진시스템 | CAD, CAM 직원 모집 | 5시간 전 등록
[2025-07-05 06:01:40] INFO - 0059 | 피엔에이링크 | [BMW/대전AS] 코오롱모터스 대전 서비스센터 리셉션 안내데스크 채용 | 5시간 전 등록
[2025-07-05 06:01:40] INFO - 0060 | 빅지엔터테인먼트 | [빅지엔터] 프리랜서/알바/인플루언서/크리에이터/BJ 틱톡 호스트 모집 | 5시간 전 등록
[2025-07-05 06:01:40] INFO - 0061 | 재돈성형외과의원 | 압구정역 (재돈성형외과) 코디네이터&수술실 각 1명 신입 채용 | 5시간 전 등록
[2025-07-05 06:01:40] INFO - 0062 | ㈜엠제이플렉스 | [MD/월 245만] SBS미디어넷 편성운행/채널 모니터링/자료관리/송출 채용 | 5시간 전 등록
[2025-07-05 06:01:40] INFO - 0063 | 오픈갤러리 | [오픈갤러리] 고객관리팀 Staff 모집 (주말근무가능자) | 5시간 전 등록
[2025-07-05 06:01:40] INFO - 0064 | 오픈갤러리 | [오픈갤러리] IT팀 개발자 채용(일반/병특 (보충역)) | 5시간 전 등록
[2025-07-05 06:01:41] INFO - 0065 | 오픈갤러리 | [오픈갤러리] 물류팀 사원 채용 | 5시간 전 등록
[2025-07-05 06:01:41] INFO - 0066 | 지디트레이드(GD TRADE) | [서초]고용노동부 청년일경험 통합플랫폼 구축 2단계, PMO | 5시간 전 등록
[2025-07-05 06:01:41] INFO - 0067 | 피엔에이링크 | [L`OCCITANE 록시땅] 롯데백화점 명품 스킨케어 뷰티 매장 직원 채용 | 5시간 전 등록
[2025-07-05 06:01:41] INFO - 0068 | 애드민 | [포항/월400만] 현대캐피탈 채권추심원 채용 | 5시간 전 등록
[2025-07-05 06:01:41] INFO - 0069 | ㈜유니파이 | 2025년 하반기 유니파이 디자인팀 신입 및 경력사원 채용 | 5시간 전 등록
[2025-07-05 06:01:41] INFO - 0070 | 세한피엔씨㈜ | 영업/거래처관리 직원 모집- 경력직 우대 (안양 근무) | 5시간 전 등록
[2025-07-05 06:01:42] INFO - 0071 | ㈜잡스테이션 | [정수기-부품조립/월340만이상/주간,교대 선택]셔틀운행/진천 | 5시간 전 등록
[2025-07-05 06:01:42] INFO - 0072 | 핀다 | DevOps 엔지니어 | 5시간 전 등록
[2025-07-05 06:01:42] INFO - 0073 | ㈜잡스테이션 | [대성보일러-부품조립-주간고정]셔틀및자차/음성 | 5시간 전 등록
[2025-07-05 06:01:42] INFO - 0074 | 미래신용정보㈜ | (성북) 렌탈팩토링 채권 수납센터 및 추심 상담원 모집 | 5시간 전 등록
[2025-07-05 06:01:42] INFO - 0075 | 셰플러코리아 | 셰플러코리아 경력직 사원 모집 | 5시간 전 등록
[2025-07-05 06:01:42] INFO - 0076 | ㈜잡스테이션 | [주급가능-월330만이상/1인실기숙사]주간고정/각파이프생산/충북음성 | 5시간 전 등록
[2025-07-05 06:01:42] INFO - 0077 | 미래신용정보㈜ | (성북) 모바일 고객수납센터 상담원 모집 | 5시간 전 등록
[2025-07-05 06:01:43] INFO - 0078 | 퍼솔켈리코리아 유한회사 | [Global미디어 D사] ILS 사무지원 담당자 채용(8개월단기) | 5시간 전 등록
[2025-07-05 06:01:43] INFO - 0079 | ㈜케이엘큐브 | 아바타 애니메이션, 당신의 로직이 생명을 불어넣습니다 (UE5 개발자 채용) | 5시간 전 등록
[2025-07-05 06:01:43] INFO - 0080 | ㈜스카우트 | [국민취업지원제도 / 1년] 육아휴직 대체 전담 상담사 모집 (직업상담사) | 5시간 전 등록
[2025-07-05 06:01:43] INFO - 0081 | 메디언스팜 | 바이오 업무 담당자 모집 | 5시간 전 등록
[2025-07-05 06:01:43] INFO - 0082 | ㈜잡스테이션 | [벽지장판생산-경력자모집]월370이상/주야교대/셔틀운행/옥산 | 5시간 전 등록
[2025-07-05 06:01:43] INFO - 0083 | ㈜스카우트 | [차고지/마포구 상암] 중견기업 제조업 대표이사 수행 기사 채용 | 5시간 전 등록
[2025-07-05 06:01:44] INFO - 0084 | ㈜스카우트 | [차고지/서초구 반포동] 중견기업 제조업 대표이사 수행 기사 채용 | 5시간 전 등록
[2025-07-05 06:01:44] INFO - 0085 | ㈜아이푸드 | 사무보조 4시간(식품이력제등록) 아르바이트 모집합니다. | 5시간 전 등록
[2025-07-05 06:01:44] INFO - 0086 | ㈜아이푸드 | 영양사 모집 (haccp관리자) | 5시간 전 등록
[2025-07-05 06:01:44] INFO - 0087 | ㈜유안에이치알 | (7/17면접, 초보가능) 일산차병원 간호국 내 사무 및 행정업무 사원 모집 | 5시간 전 등록
[2025-07-05 06:01:44] INFO - 0088 | 세일즈웍스코리아(유) | (고양지점) 이벤트, 홍보 부스 진행 할 활발하고 유쾌한 인재를 찾습니다 | 5시간 전 등록
[2025-07-05 06:01:44] INFO - 0089 | 에이스휴먼파워㈜ | [기숙사(월3만) / 주야간 교대] LG이노텍 구미공장 / 8월부터 순차입사 | 5시간 전 등록
[2025-07-05 06:01:45] INFO - 0090 | ㈜퓨처젠 커머스 | [부산 금정구] IT전산 장비 유지보수 | 5시간 전 등록
[2025-07-05 06:01:45] INFO - 0091 | 에이스휴먼파워㈜ | [LG이노텍 / 구미공장] 스마트폰 부품 검사·제조 채용/8월 순차 입사 | 5시간 전 등록
[2025-07-05 06:01:45] INFO - 0092 | 에이스휴먼파워㈜ | LG이노텍과 함께 성장할 인재 모집 [구미공장 / 대규모 채용] 8월순차입사 | 5시간 전 등록
[2025-07-05 06:01:45] INFO - 0093 | (주)호텔아시아제주 | 호텔아시아제주(호텔에어시티운영사) 프론트 직원모집 | 5시간 전 등록
[2025-07-05 06:01:45] INFO - 0094 | 차만사 | 중고차딜러 신입/경력자 대모집 (수원) | 5시간 전 등록
[2025-07-05 06:01:45] INFO - 0095 | 에이스휴먼파워㈜ | [LG이노텍 / 구미공장] 스마트폰 부품 제조 및 검사원 / 8월 순차 입사 | 5시간 전 등록
[2025-07-05 06:01:45] INFO - 0096 | 에이스휴먼파워㈜ | [LG이노텍 / 구미공장] 스마트폰 부품 제조 및 검사원 채용 / 8월 순차입사 | 5시간 전 등록
[2025-07-05 06:01:46] INFO - 0097 | ㈜메이크엠 | 여성의류 쇼핑몰 메이비베이비 배송팀 신입,경력(1년이상)사원 모집 | 5시간 전 등록
[2025-07-05 06:01:46] INFO - 0098 | 세일즈웍스코리아(유) | (홍대지점) 이벤트, 홍보 부스 진행 할 활발하고 유쾌한 인재를 찾습니다 | 5시간 전 등록
[2025-07-05 06:01:46] INFO - 0099 | 세일즈웍스코리아(유) | (인천지점) 이벤트, 홍보 부스 진행 할 활발하고 유쾌한 인재를 찾습니다 | 5시간 전 등록
[2025-07-05 06:01:46] INFO - 0100 | ㈜잡스테이션 | [사택기숙사제공/복지우수] 천룡CC - 조리사 모집 | 5시간 전 등록
