[2025-07-18 06:00:02] INFO - 🔧 Logging initialized
[2025-07-18 06:00:02] INFO - 프로그램 시작됨
[2025-07-18 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-18 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-18 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-18 06:01:29] INFO - 🔢 총 공고 수: 182866건 → 최대 페이지 수: 3658 페이지
[2025-07-18 06:01:29] INFO - 
📄 현재 페이지: 1
[2025-07-18 06:01:35] INFO - 0037 | ㈜유에이치씨 | UH FLAT the SOKCHO 레지던스형 호텔 시설 관리 신입 및 경력직 채용 | 5시간 전 등록
[2025-07-18 06:01:35] INFO - 0038 | 보람상조피플㈜ | 보람 상조 (주) 관리자 공개 채용 (팀장.지점장) | 5시간 전 등록
[2025-07-18 06:01:35] INFO - 0039 | 신영산업안전㈜ | (경기 광명시)건설현장 안전시설물 시공작업자 모집합니다. | 5시간 전 등록
[2025-07-18 06:01:35] INFO - 0040 | ㈜씨씨 | 에이치에비뉴 호텔, 브라운도트 호텔 해운대점 프론트 직원 구합니다 | 5시간 전 등록
[2025-07-18 06:01:36] INFO - 0041 | ㈜유원커리어센터 | [LG이노텍 구미/월390만]스마트폰 부품 및 제조검사원 | 5시간 전 등록
[2025-07-18 06:01:36] INFO - 0042 | 로지스올㈜ | 한국로지스풀 지게차 정비 및 순회 관리 채용(정규직) | 5시간 전 등록
[2025-07-18 06:01:36] INFO - 0043 | ㈜맨파워코리아 | [수서역/복지우수] 글로벌 생명과학기업 CSR 채용 | 5시간 전 등록
[2025-07-18 06:01:36] INFO - 0044 | ㈜유원커리어센터 | [LG이노텍 구미/8월입사/월390만]스마트폰 부품 및 제조검사 | 5시간 전 등록
[2025-07-18 06:01:36] INFO - 0045 | 에이치알서브㈜ | [정규직/연3400만] 강서/강남 타코벨 신규매장 매니저 모집 | 5시간 전 등록
[2025-07-18 06:01:36] INFO - 0046 | 보보스링크㈜ | [용산역/11시출근] 볼보 자동차 전시장 안내데스크 리셉션 사원채용 | 5시간 전 등록
