[2025-07-02 06:00:01] INFO - 🔧 Logging initialized
[2025-07-02 06:00:01] INFO - 프로그램 시작됨
[2025-07-02 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-02 06:00:15] INFO - 🔢 총 공고 수: 170585건 → 최대 페이지 수: 3412 페이지
[2025-07-02 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-02 06:00:21] INFO - 0039 | 인커넥트 | [재택근무(오후부터 근무원하시는분)/14시-23시]-쿠팡 문의상담(교육3일) | 5시간 전 등록
[2025-07-02 06:00:22] INFO - 0040 | 애커튼테크놀로지서비스 | [SK㈜ AX 자회사] AX 사내IT시스템 운영자 모집 | 5시간 전 등록
[2025-07-02 06:00:22] INFO - 0041 | 리드커리어㈜ | [한국정보통신기술협회/TTA] 6월 신입 파견직 대규모 공개채용 | 5시간 전 등록
[2025-07-02 06:00:22] INFO - 0042 | ㈜에프앤씨시스템 | 실버케어센터 조리원 모집 | 5시간 전 등록
[2025-07-02 06:00:22] INFO - 0043 | 리드커리어 주식회사 | [잠실 본사] IT자산관리 실무자라면 클릭- 쿠팡 본사 단기 프로젝트 채용 | 5시간 전 등록
[2025-07-02 06:00:22] INFO - 0044 | ㈜리골드 | 귀금속디자이너, 캐드기사 직원 모집(라이노 캐드) | 5시간 전 등록
[2025-07-02 06:00:22] INFO - 0045 | ㈜선정인터내셔날 | [전표처리/사업지원] NICE평가정보 팀 회계행정 | 5시간 전 등록
[2025-07-02 06:00:23] INFO - 0046 | ㈜제이앤비컨설팅 | [일4시간/화곡/강서구청]한국건강관리협회 중앙본부 검체분류원(사무) 채용 | 5시간 전 등록
[2025-07-02 06:00:23] INFO - 0047 | 트랜스코스모스코리아 | [초보 가능/대규모 모집] 세계1위 스마트폰업체 사용 문의 1차 상담 Za2G | 5시간 전 등록
[2025-07-02 06:00:23] INFO - 0048 | 지아이엠시스템 | 이차전지(리튬이온 배터리) 해외영업직 채용 | 5시간 전 등록
[2025-07-02 06:00:23] INFO - 0049 | ㈜메타엠 | [재택근무/쿠팡이츠] 콜센터 관리자 채용 | 5시간 전 등록
[2025-07-02 06:00:23] INFO - 0050 | 에이스휴먼파워㈜ | [연 3,400만이상/셔틀버스] LG전자 임원비서 채용 | 5시간 전 등록
[2025-07-02 06:00:23] INFO - ⏱ 2.91초 대기
[2025-07-02 06:00:27] INFO - 
📄 현재 페이지: 2
[2025-07-02 06:00:27] INFO - 0051 | ㈜지원에이치에스 | 안산/안성 전자회사 정규직 ]시급 11,021 /월평균 360만/상여금418/기숙사 | 5시간 전 등록
[2025-07-02 06:00:27] INFO - 0052 | 인커넥트 | [(구 대구은행)iM뱅크 고객센터 인바운드상담/고정급232만/범어역] | 5시간 전 등록
[2025-07-02 06:00:27] INFO - 0053 | 리드커리어 주식회사 | 벤츠 수도권 각 전시장 차량전문가 채용 [인센티브 매달 발생/칼퇴] | 5시간 전 등록
[2025-07-02 06:00:27] INFO - 0054 | ㈜메타엠 | [지그재그/카카오스타일] 인터넷 쇼핑몰 고객센터 관리자(운영실장) 채용 | 5시간 전 등록
[2025-07-02 06:00:28] INFO - 0055 | 에스케이케미칼 | [SK케미칼] 의약품 생산관리 담당자 신입(전환형인턴) 모집 | 5시간 전 등록
[2025-07-02 06:00:28] INFO - 0056 | 피엔에이링크 | [코오롱글로벌] 김해 자원순환시설 대보수공사 건축품질관리자 채용 | 5시간 전 등록
[2025-07-02 06:00:28] INFO - 0057 | ㈜제이앤비컨설팅 | [영등포/문래] 제이앤비컨설팅 HR본부 잡매니저 채용 모집 | 5시간 전 등록
[2025-07-02 06:00:28] INFO - 0058 | 한국ICT인재개발원 | [국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준 | 5시간 전 등록
[2025-07-02 06:00:28] INFO - 0059 | ㈜엠제이플렉스 | [목동/경력별 협의] CBS 디지털뉴스제작센터 영상편집 채용 | 5시간 전 등록
[2025-07-02 06:00:28] INFO - 0060 | 주식회사 달미식품 농업회사법인 | [달미식품] 축산 가공품 생산직 모집 | 5시간 전 등록
[2025-07-02 06:00:28] INFO - 0061 | 인터프로셀㈜ | (여의도/주5일) 외국계 기업 사무직 전산관리직 채용 | 5시간 전 등록
[2025-07-02 06:00:29] INFO - 0062 | ㈜엠제이플렉스 | [롯데홈쇼핑/생방송 보조] 영상미술팀 FD(방송지원) 채용 | 5시간 전 등록
[2025-07-02 06:00:29] INFO - 0063 | 에스케이증권㈜ | [SK증권] 체험형 Internship 시행 | 5시간 전 등록
[2025-07-02 06:00:29] INFO - 0064 | 쿠팡풀필먼트서비스 유한회사 | [쿠팡CFS] 인천11 자동화 신선센터 현장관리자 채용 | 5시간 전 등록
[2025-07-02 06:00:29] INFO - 0065 | ㈜메타엠 | [신입/경력] 콜센터 IT 헬프데스크 담당 사원 모집 | 5시간 전 등록
[2025-07-02 06:00:29] INFO - 0066 | 보람상조피플㈜ | 영업직원관리자,팀장.지점장후보 모집합니다. | 5시간 전 등록
[2025-07-02 06:00:30] INFO - 0067 | 인커넥트 | [8월말까지만 근무하세요/이직확인서 가능/중앙역]-LG전자 AS접수 단기상담 | 5시간 전 등록
[2025-07-02 06:00:30] INFO - 0068 | ㈜제이앤비컨설팅 | (남녀무관/2-3개월구간)롯데카드 대전콜렉션 채권추심원 모집 | 5시간 전 등록
[2025-07-02 06:00:30] INFO - 0069 | (주)맨파워코리아 | [오산/주5일/셔틀/식사] 의료용품 물류 지게차 사원모집 | 5시간 전 등록
[2025-07-02 06:00:30] INFO - 0070 | 트랜스코스모스코리아 | [재택가능/평일근무] LG전자 렌탈 정보확인/단순안내(영업X) Zb6A | 5시간 전 등록
[2025-07-02 06:00:30] INFO - 0071 | 휴인 | ['25하반기채용]수원/무스펙/컨설턴트/놀라운복지/자율퇴근제/30062 | 5시간 전 등록
[2025-07-02 06:00:30] INFO - 0072 | 충남보육교구교육사 | 충남보육사 유치원,어린이집 유아코딩 및 방과후교사 모집공고 (천안,아산) | 5시간 전 등록
[2025-07-02 06:00:31] INFO - 0073 | ㈜비엔지센터 | 온라인 영업팀 신입사원 정규직 사원 채용 | 5시간 전 등록
[2025-07-02 06:00:31] INFO - 0074 | 재성씨에스㈜ | 현장 책임자 모집 ( 지게차 운전 가능자 ) | 5시간 전 등록
[2025-07-02 06:00:31] INFO - 0075 | 재성씨에스㈜ | 관리자 모집 ( 지게차 운전 가능자 ) | 5시간 전 등록
[2025-07-02 06:00:31] INFO - 0076 | 재성씨에스㈜ | 현장 관리자 모집 ( 지게차 운전 가능자 ) | 5시간 전 등록
[2025-07-02 06:00:31] INFO - 0077 | ㈜라이브러리컴퍼니 | 플랫폼사업팀 - 프론트엔드(주니어) | 5시간 전 등록
[2025-07-02 06:00:31] INFO - 0078 | 에이치알에스코리아 | [KT삼송 /KT그룹 정규직](휴일근무X) TV인터넷 요금제 변경입력 및 상담 | 5시간 전 등록
[2025-07-02 06:00:31] INFO - 0079 | DB손해보험㈜ | 9:30분-2시/보상청구,고객관리상담/주4일가능/초보,주부가능 | 6시간 전 등록
[2025-07-02 06:00:32] INFO - 0080 | ㈜한얼알앤디 | 힐스테이트 해운대 센트럴 인테리어공사 현장 관리직 / 공무직원 채용 | 7시간 전 등록
[2025-07-02 06:00:32] INFO - 0081 | 예리엘에듀 | [예리엘잉글리쉬] 온라인 학생관리 프리랜서 (부업/재택/전업 가능) | 7시간 전 등록
[2025-07-02 06:00:32] INFO - 0082 | ㈜코믹스 | 대한지방행정공제회 `임원 운전원` 채용 공고 | 7시간 전 등록
[2025-07-02 06:00:32] INFO - 0083 | ㈜세일즈코어 | 광고 영업 경력자 모집 | 7시간 전 등록
[2025-07-02 06:00:32] INFO - 0084 | 서플라이루트㈜ | [서플라이루트] 패션회사 웹디자이너 경력직 (2년이상,디자인 전공필) 채용 | 8시간 전 등록
[2025-07-02 06:00:32] INFO - 0085 | 더리본㈜ | 상례관리자 모집 | 8시간 전 등록
[2025-07-02 06:00:33] INFO - 0086 | 이수정보㈜ | [증미] OO기업 팩토바 설비제어시스템 구축(java/초급,고급) | 8시간 전 등록
