[2025-06-26 06:00:01] INFO - 🔧 Logging initialized
[2025-06-26 06:00:01] INFO - 프로그램 시작됨
[2025-06-26 06:00:14] INFO - 🔢 총 공고 수: 175931건 → 최대 페이지 수: 3519 페이지
[2025-06-26 06:00:14] INFO - 
📄 현재 페이지: 1
[2025-06-26 06:00:21] INFO - 0041 | 주식회사 아트앤매니지먼트 | 중국 무역 영업 브랜드제품 생산관리 / 중국어 HSK 6급 | 5시간 전 등록
[2025-06-26 06:00:21] INFO - 0042 | ㈜로보티즈 | [로보티즈] 기구설계 및 감속기 개발 채용(경력) | 5시간 전 등록
[2025-06-26 06:00:21] INFO - 0043 | ㈜네오커머스 | 온라인 MD 경력 및 신입채용 | 5시간 전 등록
[2025-06-26 06:00:22] INFO - 0044 | ㈜쌤시크코스메틱 | [쌔뮤] SAM`U 화장품 일본 온라인 CS 경력직 채용 공고 | 5시간 전 등록
[2025-06-26 06:00:22] INFO - 0045 | 용인대학교 | [용인대학교 취창업지원센터] 전임연구원 채용 공고 | 5시간 전 등록
[2025-06-26 06:00:22] INFO - 0046 | 레치인터내셔널㈜ | 중국어 능통하신 영업사원을 구합니다 | 5시간 전 등록
[2025-06-26 06:00:22] INFO - 0047 | 중앙일보㈜ | [인턴] 이노베이션랩 SNS 운영 인턴 채용 | 5시간 전 등록
[2025-06-26 06:00:22] INFO - 0048 | 하나머티리얼즈㈜ | 하나머티리얼즈 신입/경력 모집 | 5시간 전 등록
[2025-06-26 06:00:22] INFO - 0049 | 비케이알 | BKR 팀홀튼 운영관리(부점장) 신입/경력 사원 채용 | 5시간 전 등록
[2025-06-26 06:00:23] INFO - 0050 | 패션플랫폼㈜ | 패션플랫폼 데코 기획MD 경력자 모집 | 5시간 전 등록
[2025-06-26 06:00:23] INFO - ⏱ 3.12초 대기
[2025-06-26 06:00:26] INFO - 
📄 현재 페이지: 2
[2025-06-26 06:00:26] INFO - 0051 | (재)한국해양재단 | 직원(키즈마린파크) 채용 공고 | 5시간 전 등록
[2025-06-26 06:00:27] INFO - 0052 | 서한케어 | 의료기기 제조 개발부 모집 | 5시간 전 등록
[2025-06-26 06:00:27] INFO - 0053 | 충남보육교구교육사 | 충남 삼성에듀 키즈웰. 사무회계 홍보 마케팅 업무사원 | 5시간 전 등록
[2025-06-26 06:00:27] INFO - 0054 | ㈜인터엑스 | 산업 DX & 데이터 PM 인턴 채용 | 5시간 전 등록
[2025-06-26 06:00:27] INFO - 0055 | ㈜데코인홈 | 커튼 블라인드 주식회사 데코인홈 부산직영점 신규팀원 채용공고 | 5시간 전 등록
