[2025-07-07 06:00:01] INFO - 🔧 Logging initialized
[2025-07-07 06:00:02] INFO - 프로그램 시작됨
[2025-07-07 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-07 06:00:15] INFO - 🔢 총 공고 수: 172779건 → 최대 페이지 수: 3456 페이지
[2025-07-07 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-07 06:00:21] INFO - 0038 | 케이티씨에스㈜ | (주)케이티씨에스 상권매니저 운영센터 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0039 | 파크스튜디오 | 드라마 의상팀 계약직 의상 디자이너 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0040 | 휴로넷 | SK텔레콤 본사 수행기사 채용 [ 차고지 : 용산구] | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0041 | 비스포크랩㈜ | [비스포크랩] OTT 청각장애인용 한국어 자막 감수자 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0042 | ㈜골든듀 | ㈜골든듀 그래픽/웹 디자이너, VM 경력 및 인턴 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0043 | ㈜에이치엔서브 | [7월18일(금)면접/정착금지급/급여인상예정] 하나은행 청약,예금, TM안내 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0044 | 비스포크랩㈜ | [OTT 자막 프로젝트] 한국어 자막 PM 채용 | 5시간 전 등록
[2025-07-07 06:00:23] INFO - 0045 | ㈜테이스터스 | [주5일/주2회 휴무] 바스버거 직영점 직원 채용[역삼점/여의도점/성수점] | 5시간 전 등록
[2025-07-07 06:00:23] INFO - 0046 | 공인중개사사무소협진부동산 | 2025년 협진부동산에서 함께할 소속공인중개사님을 모십니다. | 5시간 전 등록
[2025-07-07 06:00:23] INFO - 0047 | ㈜제인솔루션 | [브이스파] 워커힐호텔 테라피스트 사원모집 | 5시간 전 등록
[2025-07-07 06:00:23] INFO - 0048 | 맨투맨크린 | 야간 청소 대행 직원 구합니다 | 5시간 전 등록
[2025-07-07 06:00:23] INFO - 0049 | ㈜이솔홈 | 온라인쇼핑몰 웹디자이너 채용 | 5시간 전 등록
[2025-07-07 06:00:23] INFO - 0050 | 신한라이프생명보험㈜ | 2025 영업/영업관리자 모집 [지원금 450만/성과급] | 5시간 전 등록
[2025-07-07 06:00:23] INFO - ⏱ 2.89초 대기
[2025-07-07 06:00:27] INFO - 
📄 현재 페이지: 2
[2025-07-07 06:00:27] INFO - 0051 | ㈜제인솔루션 | [촬영 및 차량용품] 자사몰 상세페이지 관리 및 마케팅 홍보 담당자 모집 | 5시간 전 등록
[2025-07-07 06:00:27] INFO - 0052 | ㈜드레니 | [통신/VoIP] 고객지원팀 채용 | 5시간 전 등록
[2025-07-07 06:00:28] INFO - 0053 | 휴로넷 | [신입환영/전표처리] SK오앤에스 회계 및 사무관련 직원 채용 | 5시간 전 등록
[2025-07-07 06:00:28] INFO - 0054 | ㈜지학사 | 2025년 7월 수시채용 | 5시간 전 등록
[2025-07-07 06:00:28] INFO - 0055 | ㈜티앤티컴퍼니 | 타낫 신세계백화점 센텀시티점 신입 정규직 채용 | 5시간 전 등록
[2025-07-07 06:00:28] INFO - 0056 | ㈜제이앤비컨설팅 | (종합계약직/광화문/강동길동)롯데카드 법인지점 각 지점별 총무 사무직 | 5시간 전 등록
[2025-07-07 06:00:28] INFO - 0057 | ㈜중산물산 | ㈜중산물산과 함께 성장할 무역개발 인재를 모집합니다. | 5시간 전 등록
[2025-07-07 06:00:28] INFO - 0058 | ㈜케이에스한국고용정보 | [부팀장채용] 대한항공/아시아나 KB카드 VIP전담 예약발권 관리자 | 5시간 전 등록
[2025-07-07 06:00:28] INFO - 0059 | ㈜제니엘 | [삼성역] 한국무역협회 국제협력본부 아주실 사무/행정 파견직 채용 | 5시간 전 등록
