[2025-07-03 06:00:01] INFO - 🔧 Logging initialized
[2025-07-03 06:00:02] INFO - 프로그램 시작됨
[2025-07-03 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-03 06:00:19] INFO - 🔢 총 공고 수: 173809건 → 최대 페이지 수: 3477 페이지
[2025-07-03 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-03 06:00:26] INFO - 0040 | ㈜제이앤비컨설팅 | [영등포/문래] 제이앤비컨설팅 HR 본사 잡매니저 정규직 신입/경력 채용 | 5시간 전 등록
[2025-07-03 06:00:26] INFO - 0041 | ㈜케이씨엠에스 | 나주 한전 SAP HR 운영 및 컨설팅 (t05) | 5시간 전 등록
[2025-07-03 06:00:26] INFO - 0042 | ㈜스카우트 | [차고지 / 마포구 상암] 중견기업 제조업 대표이사 수행 기사 채용 | 5시간 전 등록
[2025-07-03 06:00:26] INFO - 0043 | 쿠팡로지스틱스서비스 | [월최대340]쿠팡CLS 현장관리 및 사무 행정(경력무관) 채용 | 5시간 전 등록
[2025-07-03 06:00:27] INFO - 0044 | 현대오토에버㈜ | 스마트오피스 SW플랫폼 UX 기획/설계 | 5시간 전 등록
[2025-07-03 06:00:27] INFO - 0045 | ㈜메타엠 | [해피콜] 메리츠화재 완판모니터링 상담사 (인원 증원채용) | 5시간 전 등록
[2025-07-03 06:00:27] INFO - 0046 | 리드커리어 주식회사 | [근무지 선택/워라벨] 벤츠 수도권 각 서비스센터 접수데스크 직원 채용 | 5시간 전 등록
[2025-07-03 06:00:27] INFO - 0047 | ㈜덴티움 | 덴티움 R&D 과제운영팀 인재 채용 | 5시간 전 등록
[2025-07-03 06:00:27] INFO - 0048 | ㈜지원에이치에스 | [전자회사]제조.설비.검사 연봉5000/지원금60/기숙사/동반가능/통근/ | 5시간 전 등록
[2025-07-03 06:00:27] INFO - 0049 | 라온시큐어㈜ | [라온시큐어] 보안컨설팅 영업 팀원 채용 | 5시간 전 등록
[2025-07-03 06:00:28] INFO - 0050 | ㈜에프앤씨시스템 | 덕평휴게소 영업 파트 단기 업무 [육아휴직 대체근무] | 5시간 전 등록
[2025-07-03 06:00:28] INFO - ⏱ 1.60초 대기
[2025-07-03 06:00:30] INFO - 
📄 현재 페이지: 2
[2025-07-03 06:00:30] INFO - 0051 | 애드민 | [주5일/강동역/롯데계열] 코리아세븐 상품전략팀 담당 채용 | 5시간 전 등록
[2025-07-03 06:00:30] INFO - 0052 | ㈜케이티아이에스 | [KTDS/콜량적음] 임직원 사무관련 전산시스템 ERP 관련 상담직 채용 | 5시간 전 등록
[2025-07-03 06:00:30] INFO - 0053 | ㈜메타엠 | [월338만] POS, 테이블오더 가맹점 기술상담(영업X,문의) | 5시간 전 등록
[2025-07-03 06:00:31] INFO - 0054 | ㈜엠제이플렉스 | [격려금/식사제공/신입가능] 조선영상비전 기획제작부 AD 채용 | 5시간 전 등록
[2025-07-03 06:00:31] INFO - 0055 | 보람상조피플㈜ | 특수사업부에서 영업관리팀장, 지점장 관리자후보양성 모집합니다. | 5시간 전 등록
[2025-07-03 06:00:31] INFO - 0056 | 애드민 | [주간고정]세종시 전의면 미래산업단지 생산 오퍼레이터 정규직 모집 | 5시간 전 등록
[2025-07-03 06:00:31] INFO - 0057 | ㈜리워터 | 파주시 운정공공하수처리시설 전기/기계직 채용 | 5시간 전 등록
[2025-07-03 06:00:31] INFO - 0058 | 에이스휴먼파워㈜ | [롯데카드/채권추심/높은급여] 롯데카드 대전Collection지점 채용 | 5시간 전 등록
[2025-07-03 06:00:31] INFO - 0059 | 르노코리아㈜ | 전국 전시장 신차판매 영업담당(Sales Advisor) 공개 모집 | 5시간 전 등록
[2025-07-03 06:00:32] INFO - 0060 | ㈜리워터 | 파주시 운정공공하수처리시설 수질분석 실험실 직원 채용 | 5시간 전 등록
