[2025-07-12 06:00:01] INFO - 🔧 Logging initialized
[2025-07-12 06:00:02] INFO - 프로그램 시작됨
[2025-07-12 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-12 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-12 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-12 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-12 06:00:53] INFO - 🔢 총 공고 수: 183029건 → 최대 페이지 수: 3661 페이지
[2025-07-12 06:00:53] INFO - 
📄 현재 페이지: 1
[2025-07-12 06:00:59] INFO - 0035 | 에이스휴먼파워㈜ | [역삼/근속수당/성과급최대105만]롯데캐피탈 인바운드 상담직 채용 | 5시간 전 등록
[2025-07-12 06:00:59] INFO - 0036 | ㈜엠제이플렉스 | [신입가능/촬영보조/동대구역] 조선영상비전 취재AD 채용 (취재/현장지원) | 5시간 전 등록
[2025-07-12 06:00:59] INFO - 0037 | 인트로맨㈜ | [차고지:반포] 흥국생명 임원 수행기사 채용 | 5시간 전 등록
[2025-07-12 06:00:59] INFO - 0038 | ㈜유원커리어센터 | [LG이노텍 구미공장/통근버스/월390만]스마트폰 부품 및 제조검사 | 5시간 전 등록
[2025-07-12 06:01:00] INFO - 0039 | 애드민 | [주5일/인천/예술회관역] 흥국화재해상보험 사무직 내방고객응대 업무 채용 | 5시간 전 등록
[2025-07-12 06:01:00] INFO - 0040 | ㈜잡스테이션 | [셔틀운행-정수기부품조립]진천(주간)/맹동(교대) | 5시간 전 등록
[2025-07-12 06:01:00] INFO - 0041 | ㈜네트론 | [월327만이상]비타민 정규생산직 OP 모집/성과금300프로/통근버스운행 | 5시간 전 등록
[2025-07-12 06:01:00] INFO - 0042 | 피엔에이링크 | [AVEDA 아베다] 백화점 헤어케어 화장품 뷰티 매장직 채용 / 정규전환가능 | 5시간 전 등록
[2025-07-12 06:01:00] INFO - 0043 | ㈜유원커리어센터 | [LG이노텍 구미/8월입사/월390만]스마트폰 부품 및 제조검사 | 5시간 전 등록
[2025-07-12 06:01:00] INFO - 0044 | 에스엠케이 | 안산 HPCB 전공정 채용 (상여300/정착지원금/기숙사1,2인실무료/통근버스) | 5시간 전 등록
[2025-07-12 06:01:01] INFO - 0045 | 인트로맨㈜ | 월 최대295 영상제작/편집/자료제작 (주)한독/테헤란로/강남/연봉협의가능 | 5시간 전 등록
[2025-07-12 06:01:01] INFO - 0046 | ㈜잡스테이션 | [주급가능-1인실기숙사-월330만이상]주간고정/각파이프생산/음성 | 5시간 전 등록
[2025-07-12 06:01:01] INFO - 0047 | ㈜에프앤씨시스템 | [아워홈] 평창휴게소 인천방향 푸드코트 경력 조리팀장 모집 | 5시간 전 등록
[2025-07-12 06:01:01] INFO - 0048 | ㈜크릭앤리버엔터테인먼트 | [SBS미디어넷/상암] 인사팀 임원비서 모집 | 5시간 전 등록
[2025-07-12 06:01:01] INFO - 0049 | 에이스휴먼파워㈜ | [월 280만이상/프리미엄 아이스크림] 벤슨 크루 채용 | 5시간 전 등록
[2025-07-12 06:01:01] INFO - 0050 | 에이스휴먼파워㈜ | [HR보조/인사보조/여의도] JB우리캐피탈 인재개발팀 채용 | 5시간 전 등록
[2025-07-12 06:01:01] INFO - ⏱ 2.28초 대기
[2025-07-12 06:01:04] INFO - 
📄 현재 페이지: 2
[2025-07-12 06:01:04] INFO - 0051 | ㈜엠플라인 | [안산 원시역/내근직]아임유 (POS,키오스크)AS수리 담당자 채용 | 5시간 전 등록
[2025-07-12 06:01:05] INFO - 0052 | ㈜에프엠앤에스 | [격일근무] 출판단지 협회 본사 경비원 모집 | 5시간 전 등록
[2025-07-12 06:01:05] INFO - 0053 | ㈜유원커리어센터 | [LG이노텍 /비대면면접/월390만]카메라부품 및 제조검사 | 5시간 전 등록
[2025-07-12 06:01:05] INFO - 0054 | 애드민 | [주5일/스케줄근무/부산] 더블미디어 방송 모니터링 담당자 채용 | 5시간 전 등록
[2025-07-12 06:01:05] INFO - 0055 | ㈜에스이에이치인터내셔널 | [쥬비스 관악점] 고객 응대 및 관리 컨시어지 채용합니다 (주5일/평일근무) | 5시간 전 등록
[2025-07-12 06:01:05] INFO - 0056 | ㈜대형 | [군포역 도보 10분] SMT OP(주야2교대, 경력자수당O) | 5시간 전 등록
[2025-07-12 06:01:05] INFO - 0057 | ㈜맨파워코리아 | [여의도] 프랑스 패션/스포츠 기업 - CS Assistant(신입 가능) | 5시간 전 등록
[2025-07-12 06:01:06] INFO - 0058 | ㈜선정인터내셔날 | [인사보조/광화문] KT 인재실 사무보조 | 5시간 전 등록
[2025-07-12 06:01:06] INFO - 0059 | ㈜에스이에이치인터내셔널 | [쥬비스 수원인계점] 고객 응대 및 관리 컨시어지 채용합니다 (주5일/평일) | 5시간 전 등록
[2025-07-12 06:01:06] INFO - 0060 | 에이스휴먼파워㈜ | [패션플랫폼/대기업] KREAM AMD 채용 | 5시간 전 등록
[2025-07-12 06:01:06] INFO - 0061 | ㈜엠제이플렉스 | [CJ ENM/SNS/영상 편집] 디지털플랫폼사업팀 SNS 콘텐츠 기획/제작/유튜브 | 5시간 전 등록
[2025-07-12 06:01:06] INFO - 0062 | 이케이맨파워㈜ | [서울역/주5일근무] 서울역 내 카페 드 스카이 점장/바리스타 채용 | 5시간 전 등록
[2025-07-12 06:01:06] INFO - 0063 | ㈜아이피시 | [여의도/사무/인사/교육]JB우리캐피탈 인재개발팀 사원 채용 | 5시간 전 등록
[2025-07-12 06:01:07] INFO - 0064 | ㈜엠플라인 | [두타몰/중국어/F비자/외국인응대]글로벌텍스프리 환급데스크 모집 | 5시간 전 등록
[2025-07-12 06:01:07] INFO - 0065 | ㈜트랜스코스모스코리아 | [주5일/사무] 더케이교직원나라 S2B 1팀 사무보조 모집 | 5시간 전 등록
[2025-07-12 06:01:07] INFO - 0066 | 굿리치㈜ | [본사] (보험총무 경력자 우대) 보험사 업무 자동화 기획/운영 담당 채용 | 5시간 전 등록
[2025-07-12 06:01:07] INFO - 0067 | ㈜동행코리아 | 트립고잉 웹 매거진 에디터(신입/경력) | 5시간 전 등록
[2025-07-12 06:01:07] INFO - 0068 | 콜로세움코퍼레이션 | 서비스 운영담당 매니저급 | 5시간 전 등록
[2025-07-12 06:01:07] INFO - 0069 | 콜로세움코퍼레이션 | Frontend Engineer (Lead) | 5시간 전 등록
[2025-07-12 06:01:07] INFO - 0070 | ㈜문토(munto) | [시리즈A투자유치] Node.js 개발자 | 5시간 전 등록
[2025-07-12 06:01:08] INFO - 0071 | ㈜문토(munto) | [시리즈A투자유치] 경영지원 매니저 | 5시간 전 등록
[2025-07-12 06:01:08] INFO - 0072 | ㈜문토(munto) | [시리즈A투자유치] 웹 풀스택 개발자 | 5시간 전 등록
[2025-07-12 06:01:08] INFO - 0073 | ㈜문토(munto) | [시리즈A투자유치] 서비스 마케터 | 5시간 전 등록
[2025-07-12 06:01:08] INFO - 0074 | ㈜문토(munto) | [시리즈A투자유치] 브랜드 마케터 | 5시간 전 등록
[2025-07-12 06:01:08] INFO - 0075 | ㈜문토(munto) | [시리즈A투자유치] 앱 마케터 | 5시간 전 등록
[2025-07-12 06:01:08] INFO - 0076 | ㈜문토(munto) | [시리즈A투자유치] CX 커뮤니티 매니저 | 5시간 전 등록
[2025-07-12 06:01:09] INFO - 0077 | 티지에스 | 컴퓨터/소프트웨어 제품 신사업기획(3년이상) | 5시간 전 등록
[2025-07-12 06:01:09] INFO - 0078 | 티지에스 | IT생활가전 서비스기획 및 운영(1년 이상) | 5시간 전 등록
[2025-07-12 06:01:09] INFO - 0079 | 티지에스 | IT 생활가전 서비스운영 관리 (1년 이상) | 5시간 전 등록
[2025-07-12 06:01:09] INFO - 0080 | 티지에스 | 공공 B2G 영업기획 담당자 (3년이상) | 5시간 전 등록
[2025-07-12 06:01:09] INFO - 0081 | 티지에스 | 공공기관 SI 영업 (3년이상) | 5시간 전 등록
[2025-07-12 06:01:09] INFO - 0082 | ㈜세라젬 | [세라젬] 세라봇 A/S 파트너 신규 모집 | 5시간 전 등록
[2025-07-12 06:01:09] INFO - 0083 | 아이디병원 | [아이디병원] 성형외과 중국어 상담실장 채용 | 5시간 전 등록
[2025-07-12 06:01:10] INFO - 0084 | ㈜옵스랩 | 웹개발자 모집(자바, Springboot, 오라클) | 5시간 전 등록
[2025-07-12 06:01:10] INFO - 0085 | 롯데오토케어㈜ | [롯데오토케어] 신입(정규직) 채용 | 5시간 전 등록
[2025-07-12 06:01:10] INFO - 0086 | 쿠팡풀필먼트서비스 유한회사 | [쿠팡]인천지역 물류센터 계약직 사원채용 | 5시간 전 등록
[2025-07-12 06:01:10] INFO - 0087 | 주식회사 아트앤매니지먼트 | 일본인 채용전환형 인턴 / 브랜드 기획 마케팅 파트 | 5시간 전 등록
[2025-07-12 06:01:10] INFO - 0088 | ㈜선진에프에스 | [하림그룹 선진FS] 영업지원 신입/경력 정규직 채용 | 5시간 전 등록
[2025-07-12 06:01:10] INFO - 0089 | 오픈갤러리 | [오픈갤러리] 고객관리 CS사원 모집 (주말근무가능자) | 5시간 전 등록
[2025-07-12 06:01:10] INFO - 0090 | 오픈갤러리 | [오픈갤러리] IT 풀스택 개발자 모집 (일반/병특 (보충역)) | 5시간 전 등록
[2025-07-12 06:01:11] INFO - 0091 | 오픈갤러리 | [오픈갤러리] 물류팀 사원 모집 | 5시간 전 등록
[2025-07-12 06:01:11] INFO - 0092 | 피에이치에이에차 유한회사 | Process Technician 모집(고등학교 졸업 이상) | 5시간 전 등록
[2025-07-12 06:01:11] INFO - 0093 | 올리브온 | 올리브온 정규직 채용공고 | 5시간 전 등록
[2025-07-12 06:01:11] INFO - 0094 | ㈜서웅씨엔씨 | 인테리어 조명 웹디자인 경력직 채용 | 5시간 전 등록
[2025-07-12 06:01:11] INFO - 0095 | 롯데물산㈜ | 2025년 7월 롯데물산 소방 상황감시 계약직 채용 | 5시간 전 등록
[2025-07-12 06:01:11] INFO - 0096 | 고려신용정보㈜ | 고려신용정보(주) 유동화자산본부 AMC1부 (무담보 NPL) 계약직 | 5시간 전 등록
[2025-07-12 06:01:12] INFO - 0097 | ㈜디알젬 | 각 부문 신입 및 경력사원 모집(초음파, S/W연구소, 연구소, 해외영업, 경영지원) | 5시간 전 등록
[2025-07-12 06:01:12] INFO - 0098 | 유안타증권㈜ | 유안타증권㈜ IT본부 신입직원 채용 | 5시간 전 등록
[2025-07-12 06:01:12] INFO - 0099 | ㈜에이치케이엔 | [HKN] - SNS광고 영상 편집자 채용 (정규직 채용) | 5시간 전 등록
[2025-07-12 06:01:12] INFO - 0100 | ㈜에이치케이엔 | [HKN] - SNS 광고영상 PD/카메라 감독 | 5시간 전 등록
[2025-07-12 06:01:12] INFO - ⏱ 2.41초 대기
[2025-07-12 06:01:15] INFO - 
📄 현재 페이지: 3
[2025-07-12 06:01:16] INFO - 0101 | ㈜지스콥 | 2025년 정규직 비파괴 검사원 모집[울산/창원/포항/거제/김재/인천/창원/목포/영주/건천/시흥/서산 외 | 5시간 전 등록
[2025-07-12 06:01:16] INFO - 0102 | ㈜삼표산업 | [삼표그룹] 분체몰탈 S&I팀 연구원 신입/경력 채용 | 5시간 전 등록
[2025-07-12 06:01:16] INFO - 0103 | 더리본 | 상조전문설계사 및 조직관리자 모집 | 5시간 전 등록
[2025-07-12 06:01:16] INFO - 0104 | ㈜제이케이트레이딩코리아 | (주)제이케이트레이딩코리아 한국식품종합무역 구매담당자 모집 | 5시간 전 등록
[2025-07-12 06:01:16] INFO - 0105 | 아이리버 | [IRIVER] 미왕 아이리버 (온/오프라인)영업 및 신규 거래선 발굴 담당 | 5시간 전 등록
[2025-07-12 06:01:17] INFO - 0106 | 아이리버 | [IRIVER] 미왕 아이리버 HW 회로 설계 개발 | 5시간 전 등록
[2025-07-12 06:01:17] INFO - 0107 | 아이리버 | [IRIVER] 미왕 아이리버 Astell&kern 해외 영업 담당 | 5시간 전 등록
[2025-07-12 06:01:17] INFO - 0108 | ㈜글로우서울 | 퍼포먼스 마케팅 | 5시간 전 등록
[2025-07-12 06:01:17] INFO - 0109 | 에스에스 오토모빌㈜ | 캐딜락 원주전시장 영업사원 모집 | 5시간 전 등록
[2025-07-12 06:01:17] INFO - 0110 | ㈜스텐텍 | 요일 및 시간 협의 파트타임 생산직 모집 | 5시간 전 등록
[2025-07-12 06:01:17] INFO - 0111 | 보람상조피플 | 관리자 후보, 매니져 | 5시간 전 등록
[2025-07-12 06:01:17] INFO - 0112 | ㈜에프엔엘(FNL Inc.) | ㈜F&L INC. 여성 의류 온라인 패션 MD 채용 | 5시간 전 등록
[2025-07-12 06:01:18] INFO - 0113 | ㈜제타22 | [리메인세컨드-무신사 입점 브랜드] 남성쇼핑몰 의류 재고,발주 담당자 | 5시간 전 등록
[2025-07-12 06:01:18] INFO - 0114 | ㈜이스트소프트 | [ESTsoft] 프론트엔드 개발자 (미래내일일경험 인턴) | 5시간 전 등록
[2025-07-12 06:01:18] INFO - 0115 | ㈜스텐텍 | (주)스텐텍 의료기기 영업부 팀장 채용공고 | 5시간 전 등록
[2025-07-12 06:01:18] INFO - 0116 | ㈜창 헬스케어 | IOS 모바일 앱 개발자 모집합니다. | 5시간 전 등록
[2025-07-12 06:01:18] INFO - 0117 | 인텔리안테크놀로지스 | [인텔리안테크놀로지스] SMT 생산직 채용 (OP,사전준비작업) | 5시간 전 등록
[2025-07-12 06:01:18] INFO - 0118 | ㈜키예노 | 인테리어 현장 진행 소장 및 스탭 모집 | 5시간 전 등록
[2025-07-12 06:01:18] INFO - 0119 | ㈜휴레브 | (주)휴레브 기구설계 엔지니어 | 5시간 전 등록
