[2025-07-10 06:00:01] INFO - 🔧 Logging initialized
[2025-07-10 06:00:01] INFO - 프로그램 시작됨
[2025-07-10 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-10 06:00:21] INFO - 🔢 총 공고 수: 181828건 → 최대 페이지 수: 3637 페이지
[2025-07-10 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-10 06:00:28] INFO - 0042 | 롯데이노베이트㈜ | [ERP컨설팅팀] SAP 모듈컨설팅 경력사원 채용 | 5시간 전 등록
[2025-07-10 06:00:28] INFO - 0043 | ㈜제이디알투어 | [가이드 ] 태국 치앙마이 근무 할 (신입) 한국인 가이드 모집합니다 | 5시간 전 등록
[2025-07-10 06:00:29] INFO - 0044 | 엠즈씨드주식회사 | [광화문점] 주5일 이탈리안 레스토랑 더 키친 일뽀르노 조리 신입사원 모집 | 5시간 전 등록
[2025-07-10 06:00:29] INFO - 0045 | ㈔노근리국제평화재단 | (사)노근리국제평화재단 직원 (트라우마 치유사업 경력직)채용 | 5시간 전 등록
[2025-07-10 06:00:29] INFO - 0046 | ㈜멘토커리어 | 포워딩 영업직 경력사원 채용 | 5시간 전 등록
[2025-07-10 06:00:29] INFO - 0047 | ㈜동양이엠에스 | [현대백화점]카페 틸화이트 바리스타 모집(6시간/중식제공) | 5시간 전 등록
[2025-07-10 06:00:29] INFO - 0048 | ㈜미리디 | [미리캔버스] 풀스택 개발자 (NestJS) | 5시간 전 등록
[2025-07-10 06:00:29] INFO - 0049 | ㈜케이티씨에스 | [대전/11월말까지/ktcs계약직] 소상공인 상생페이백콜센터 상담사 | 5시간 전 등록
[2025-07-10 06:00:30] INFO - 0050 | 주식회사 다이닝원 화정직영점 | (다이닝원 화정직영점) 스시파트 직원 모집합니다 | 5시간 전 등록
[2025-07-10 06:00:30] INFO - ⏱ 1.75초 대기
[2025-07-10 06:00:32] INFO - 
📄 현재 페이지: 2
[2025-07-10 06:00:32] INFO - 0051 | 에이스휴먼파워㈜ | [신한카드/광주/단기미납] 금남로5가역 / 콜업무 / 신입가능 | 5시간 전 등록
[2025-07-10 06:00:32] INFO - 0052 | ㈜제이앤비컨설팅 | (8월1일입사/견습상담원모집/고정급240만) 롯데카드 채권 직원 모집 | 5시간 전 등록
[2025-07-10 06:00:33] INFO - 0053 | ㈜케이티아이에스 | [경기신용보증재단/수원/주5일]고객센터 단기 강사 모집 | 5시간 전 등록
[2025-07-10 06:00:33] INFO - 0054 | 빌리어네어엔터테인먼트 윤혁 | 틱톡 라이브 방송 BJ 모집, 인플루언서, 스트리머 유튜버 초보O 경력자 | 5시간 전 등록
