[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:22] INFO - 0040 | 에버엑스㈜ | 의료기기 사업부문 BackEnd Developer | 5시간 전 등록
[2025-07-08 06:00:22] INFO - 0041 | ㈜에프앤엘코퍼레이션 | [인턴] 인사총무 | 5시간 전 등록
[2025-07-08 06:00:22] INFO - 0042 | ㈜씨씨 | 브라운도트 호텔 해운대점 프론트 직원 구합니다 (야간격일제) | 5시간 전 등록
[2025-07-08 06:00:22] INFO - 0043 | 이재식국어학원 | [신입 채용] 교육 콘텐츠에 진심인 분. 영상 콘텐츠 전담자 모집 | 5시간 전 등록
[2025-07-08 06:00:22] INFO - 0044 | ㈜온다와쏭 | 속초 월드스카이호텔 객실관리팀 직원 채용 합니다 | 5시간 전 등록
[2025-07-08 06:00:23] INFO - 0045 | ㈜카스 | 스마트비젼사업부 머신비젼 기술영업 신입,경력 채용 공고 | 5시간 전 등록
[2025-07-08 06:00:23] INFO - 0046 | (주) 잡라이프 | [한신메디피아] 검진파트 예약 접수 상담파트 채용 | 5시간 전 등록
[2025-07-08 06:00:23] INFO - 0047 | ㈜스카우트 | [경기 바로 입사 가능 ]대기업피트니스센터서브트레이너 대모집 | 5시간 전 등록
[2025-07-08 06:00:23] INFO - 0048 | ㈜스카우트 | [차고지/ 서초구 반포동] 중견기업 제조업 대표이사 수행 기사 채용 | 5시간 전 등록
[2025-07-08 06:00:23] INFO - 0049 | 인커넥트 | [딱1개월단기(8월말)/이직확인서 가능/올해마지막채용]-LG전자 AS접수상담 | 5시간 전 등록
[2025-07-08 06:00:23] INFO - 0050 | ㈜맨토스파워 | [패션브랜드/도급직] 라이브커머스 AMD 채용 | 5시간 전 등록
[2025-07-08 06:00:23] INFO - ⏱ 2.62초 대기
[2025-07-08 06:00:27] INFO - 
📄 현재 페이지: 2
[2025-07-08 06:00:27] INFO - 0051 | ㈜엠제이플렉스 | [전환가능/신입환영/대기업] 롯데홈쇼핑 제작지원팀 방송지원 채용 | 5시간 전 등록
[2025-07-08 06:00:27] INFO - 0052 | ㈜선정인터내셔날 | [팀회계/전표처리] NICE평가정보 연봉계약직 | 5시간 전 등록
[2025-07-08 06:00:27] INFO - 0053 | ㈜케이티아이에스 | [월297만/가산]롯데오토케어 영어 상담사 모집 | 5시간 전 등록
[2025-07-08 06:00:27] INFO - 0054 | ㈜엠제이플렉스 | [연합뉴스TV/콘텐츠제작] 프로그램 촬영& 예고 편집 / 조연출 채용 / AD FD | 5시간 전 등록
[2025-07-08 06:00:28] INFO - 0055 | ㈜아이피시 | [용인/평일근무/병동보조] 용인세브란스병원 병동보조 채용 | 5시간 전 등록
